"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,9.58,0.9,Usain BOLT,21 AUG 1986,JAM,1,"Olympiastadion, Berlin (GER)",16 AUG 2009,1356
1,2,9.63,1.5,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, London (GBR)",05 AUG 2012,1337
2,3,9.69,0.0,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",16 AUG 2008,1316
3,3,9.69,2.0,Tyson GAY,09 AUG 1982,USA,1,Shanghai (CHN),20 SEP 2009,1316
4,3,9.69,-0.1,Yohan BLAKE,26 DEC 1989,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1316
5,6,9.71,0.9,Tyson GAY,09 AUG 1982,USA,2,"Olympiastadion, Berlin (GER)",16 AUG 2009,1308
6,7,9.72,1.7,Usain BOLT,21 AUG 1986,JAM,1f1,"Icahn Stadium, New York, NY (USA)",31 MAY 2008,1305
7,7,9.72,0.2,Asafa POWELL,23 NOV 1982,JAM,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1305
8,9,9.74,1.7,Asafa POWELL,23 NOV 1982,JAM,1h2,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2007,1298
9,9,9.74,0.9,Justin GATLIN,10 FEB 1982,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1298
10,11,9.75,1.1,Yohan BLAKE,26 DEC 1989,JAM,1,Kingston (JAM),29 JUN 2012,1294
11,11,9.75,1.5,Yohan BLAKE,26 DEC 1989,JAM,2,"Olympic Stadium, London (GBR)",05 AUG 2012,1294
12,11,9.75,0.9,Justin GATLIN,10 FEB 1982,USA,1f1,"Stadio Olimpico, Roma (ITA)",04 JUN 2015,1294
13,11,9.75,1.4,Justin GATLIN,10 FEB 1982,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1294
14,15,9.76,1.8,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Kingston (JAM)",03 MAY 2008,1291
15,15,9.76,1.3,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1291
16,15,9.76,-0.1,Usain BOLT,21 AUG 1986,JAM,1,"Stadio Olimpico, Roma (ITA)",31 MAY 2012,1291
17,15,9.76,1.4,Yohan BLAKE,26 DEC 1989,JAM,1,"Letzigrund, Zürich (SUI)",30 AUG 2012,1291
18,15,9.76,0.6,Christian COLEMAN,06 MAR 1996,USA,1,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1291
19,15,9.76,1.2,Trayvon BROMELL,10 JUL 1995,USA,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1291
20,15,9.76,1.4,Fred KERLEY,07 MAY 1995,USA,1sf1,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1291
21,22,9.77,1.6,Asafa POWELL,23 NOV 1982,JAM,1,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1287
