"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,41:05,Joshua CHEPTEGEI,12 SEP 1996,UGA,1.0,Nijmegen (NED),18 NOV 2018,1248
1,2,41:13,Leonard Patrick KOMON,10 JAN 1988,KEN,1.0,Nijmegen (NED),21 NOV 2010,1240
2,3,41:16,Joshua CHEPTEGEI,12 SEP 1996,UGA,1.0,Nijmegen (NED),19 NOV 2017,1237
3,4,41:29,Felix LIMO,22 AUG 1980,KEN,1.0,Nijmegen (NED),11 NOV 2001,1223
4,4,41:29,Deriba Merga EJIGU,26 OCT 1980,ETH,,Ras Al Khaimah (UAE),20 FEB 2009,1223
5,6,41:38,Haile GEBRSELASSIE,18 APR 1973,ETH,2.0,Nijmegen (NED),11 NOV 2001,1214
6,6,41:38,Sileshi SIHINE,29 JAN 1983,ETH,1.0,Nijmegen (NED),21 NOV 2004,1214
7,8,41:49,Stephen KISSA,01 DEC 1988,UGA,1.0,Nijmegen (NED),17 NOV 2019,1203
8,9,41:51,Edwin KIPTOO,14 AUG 1993,KEN,2.0,Nijmegen (NED),17 NOV 2019,1201
9,10,41:53,Rhonex KIPRUTO,12 OCT 1999,KEN,1.0,Le Puy-en-Velay (FRA),01 MAY 2019,1199
10,11,41:55,Abel KIPCHUMBA,03 FEB 1994,KEN,1.0,Valencia (ESP),08 JUN 2019,1197
11,12,41:57,Haile GEBRSELASSIE,18 APR 1973,ETH,1.0,Nijmegen (NED),20 NOV 2005,1194
12,13,42:00,Mathew KIMELI,01 APR 1998,KEN,1.0,Le Puy-en-Velay (FRA),01 MAY 2017,1191
13,14,42:01,Salim KIPSANG,22 DEC 1979,KEN,3.0,Nijmegen (NED),11 NOV 2001,1190
14,14,42:01,Abera KUMA,31 AUG 1990,ETH,2.0,Nijmegen (NED),21 NOV 2010,1190
15,14,42:01,Nicholas KIPKEMBOI,05 JUL 1986,KEN,1.0,Nijmegen (NED),18 NOV 2012,1190
16,17,42:02,Ayele ABSHERO,28 DEC 1990,ETH,3.0,Nijmegen (NED),21 NOV 2010,1189
17,17,42:02,Josphat BOIT,25 NOV 1995,KEN,1.0,Valencia (ESP),02 JUN 2018,1189
18,19,42:06,Moses KOECH,05 AUG 1997,KEN,3.0,Nijmegen (NED),17 NOV 2019,1185
19,20,42:08,Joshua CHEPTEGEI,12 SEP 1996,UGA,1.0,Nijmegen (NED),13 NOV 2016,1183
20,20,42:08,Rogers KIBET,26 MAR 2003,UGA,1.0,Nijmegen (NED),20 NOV 2022,1183
21,22,42:12,Paul TERGAT,17 JUN 1969,KEN,1.0,La Courneuve (FRA),29 MAY 1994,1179
22,23,42:13,Geoffrey KOECH,28 AUG 1993,KEN,1.0,Heerenberg (NED),01 DEC 2019,1178
23,24,42:14,Sileshi SIHINE,29 JAN 1983,ETH,1.0,Nijmegen (NED),15 NOV 2009,1177
24,24,42:14,Nicolas KIPRONO,07 NOV 1987,UGA,2.0,Nijmegen (NED),15 NOV 2009,1177
25,24,42:14,Emmanuel Moi MARU,04 JAN 2001,KEN,1.0,Valencia (ESP),18 SEP 2021,1177
26,27,42:15,Leonard Patrick KOMON,10 JAN 1988,KEN,1.0,Nijmegen (NED),17 NOV 2013,1176
27,28,42:16,Stephen KIPROP,08 SEP 1999,KEN,1.0,Le Puy-en-Velay (FRA),01 MAY 2018,1175
28,29,42:17,Zersenay TADESE,01 JAN 1982,ERI,2.0,Nijmegen (NED),20 NOV 2005,1174
29,29,42:17,Ayele ABSHERO,28 DEC 1990,ETH,1.0,Nijmegen (NED),16 NOV 2008,1174
30,31,42:18,Leonard Patrick KOMON,10 JAN 1988,KEN,2.0,Nijmegen (NED),18 NOV 2012,1173
31,31,42:18,Abera KUMA,31 AUG 1990,ETH,1.0,Nijmegen (NED),16 NOV 2014,1173
32,31,42:18,Josphat BOIT,25 NOV 1995,KEN,2.0,Heerenberg (NED),01 DEC 2019,1173
33,34,42:20,Worku BIKILA,06 MAY 1968,ETH,1.0,Nijmegen (NED),16 NOV 1997,1171
34,34,42:20,Haymanot ALEW,11 NOV 1997,ETH,2.0,Le Puy-en-Velay (FRA),01 MAY 2018,1171
35,36,42:21,Isaac KIPROP,09 OCT 1986,UGA,2.0,Nijmegen (NED),16 NOV 2008,1170
36,36,42:21,Tesfahun AKALNEW,29 APR 1999,ETH,4.0,Nijmegen (NED),17 NOV 2019,1170
37,38,42:22,Todd WILLIAMS,07 MAR 1969,USA,1.0,"Jacksonville, FL (USA)",11 MAR 1995,1169
38,39,42:23,Josphat Machuka KIPRONO,12 DEC 1973,KEN,1.0,Nijmegen (NED),19 NOV 1995,1168
39,39,42:23,Josphat Machuka KIPRONO,12 DEC 1973,KEN,2.0,Nijmegen (NED),16 NOV 1997,1168
40,39,42:23,Tesfahun AKALNEW,29 APR 1999,ETH,3.0,Heerenberg (NED),01 DEC 2019,1168
41,42,42:24,Worku BIKILA,06 MAY 1968,ETH,1.0,Nijmegen (NED),24 MAY 1998,1167
42,42,42:24,Sileshi SIHINE,29 JAN 1983,ETH,1.0,Nijmegen (NED),18 NOV 2007,1167
43,44,42:25,Moses MOSOP,07 JUL 1985,KEN,2.0,Nijmegen (NED),21 NOV 2004,1166
44,44,42:25,Geoffrey MUTAI,07 OCT 1981,KEN,1.0,Heerenberg (NED),02 DEC 2012,1166
45,44,42:25,Vincent Kiprotich KIBET,19 MAR 1999,KEN,5.0,Nijmegen (NED),17 NOV 2019,1166
46,47,42:26,Philip Kiprono LANGAT,23 APR 1990,KEN,2.0,Heerenberg (NED),02 DEC 2012,1165
47,47,42:26,Yigrem DEMELASH,26 JAN 1994,ETH,2.0,Nijmegen (NED),16 NOV 2014,1165
48,49,42:27,Alfred BARKACH,02 MAR 1997,KEN,2.0,Valencia (ESP),08 JUN 2019,1164
49,50,42:28,Michael MUSYOKI,28 MAY 1956,KEN,1.0,"Portland, OR (USA)",26 JUN 1983,1163
50,50,42:28,Nguse AMLOSOM,10 NOV 1986,ERI,3.0,Nijmegen (NED),18 NOV 2012,1163
51,50,42:28,Robert KETER,26 DEC 1989,KEN,4.0,Heerenberg (NED),01 DEC 2019,1163
52,53,42:29,Kennedy KIMUTAI,18 JUL 1991,KEN,4.0,Nijmegen (NED),18 NOV 2012,1162
53,53,42:29,Bashir ABDI,10 FEB 1989,BEL,5.0,Heerenberg (NED),01 DEC 2019,1162
54,55,42:30,Yenew ALAMIREW,27 MAY 1990,ETH,3.0,Nijmegen (NED),16 NOV 2014,1161
55,56,42:31,Tesfaye ABERA,31 MAR 1992,ETH,4.0,Nijmegen (NED),16 NOV 2014,1160
56,57,42:32,Nicholas KIPKEMBOI,05 JUL 1986,KEN,2.0,Nijmegen (NED),17 NOV 2013,1159
57,57,42:32,Simon CHEPROT,18 FEB 1990,KEN,2.0,Valencia (ESP),02 JUN 2018,1159
58,59,42:33,Andrew MASAI,13 DEC 1960,KEN,2.0,La Courneuve (FRA),29 MAY 1994,1158
59,60,42:34,Philip Kiprono LANGAT,23 APR 1990,KEN,1.0,Heerenberg (NED),04 DEC 2011,1157
60,60,42:34,Abrar OSMAN,01 JAN 1994,ERI,2.0,Nijmegen (NED),18 NOV 2018,1157
61,62,42:35,Philemon HANNECK,12 MAY 1971,ZIM,1.0,"Tampa, FL (USA)",26 FEB 1994,1156
62,63,42:36,Arturo BARRIOS,12 DEC 1963,MEX,1.0,"Portland, OR (USA)",29 JUN 1986,1155
63,63,42:36,Eshetu WENDIMU,03 OCT 1986,ETH,2.0,Nijmegen (NED),18 NOV 2007,1155
64,63,42:36,Haile GEBRSELASSIE,18 APR 1973,ETH,1.0,Heerenberg (NED),02 DEC 2007,1155
65,63,42:36,Joseph KARANJA,16 OCT 1999,KEN,2.0,Valencia (ESP),18 SEP 2021,1155
66,67,42:37,Marcos BARRETO,25 APR 1960,MEX,1.0,"Tampa, FL (USA)",13 FEB 1988,1154
67,67,42:37,Josphat Machuka KIPRONO,12 DEC 1973,KEN,1.0,"Tampa, FL (USA)",18 FEB 1995,1154
68,67,42:37,Kenneth CHERUIYOT,08 FEB 1974,KEN,1.0,La Courneuve (FRA),03 MAY 1998,1154
69,70,42:38,Alejandro CRUZ,10 FEB 1968,MEX,1.0,"Portland, OR (USA)",18 JUN 1989,1153
70,70,42:38,Nicholas Manza KAMAKYA,02 MAR 1985,KEN,1.0,Heerenberg (NED),06 DEC 2009,1153
71,70,42:38,Jemal Yimer MEKONNEN,11 SEP 1996,ETH,1.0,"Utica, NY (USA)",10 JUL 2022,1153
72,73,42:39,Jon BROWN,27 FEB 1971,GBR,2.0,"Tampa, FL (USA)",26 FEB 1994,1152
73,73,42:39,Brahim LAHLAFI,15 APR 1968,MAR,1.0,La Courneuve (FRA),27 APR 1997,1152
74,73,42:39,Joshua CHEPTEGEI,12 SEP 1996,UGA,1.0,Nijmegen (NED),15 NOV 2015,1152
75,76,42:40,Steve SPENCE,09 MAY 1962,USA,2.0,"Portland, OR (USA)",18 JUN 1989,1151
76,76,42:40,Joseph KIMANI,21 SEP 1972,KEN,1.0,"Utica, NY (USA)",14 JUL 1996,1151
77,76,42:40,Haile GEBRSELASSIE,18 APR 1973,ETH,1.0,Melbourne (AUS),30 NOV 2008,1151
78,76,42:40,Nguse AMLOSOM,10 NOV 1986,ERI,5.0,Nijmegen (NED),16 NOV 2014,1151
79,76,42:40,Amedework WALELEGN,11 MAR 1999,ETH,2.0,Nijmegen (NED),19 NOV 2017,1151
80,76,42:40,Edwin KIPLAGAT,19 FEB 1993,KEN,2.0,"Utica, NY (USA)",10 JUL 2022,1151
81,82,42:41,Valdenor PEREIRA DOS SANTOS,21 DEC 1969,BRA,1.0,"Tampa, FL (USA)",27 FEB 1993,1150
82,82,42:41,Ronaldo DA COSTA,07 JUN 1970,BRA,3.0,"Tampa, FL (USA)",26 FEB 1994,1150
83,84,42:42,Paul CUMMINGS,05 SEP 1953,USA,2.0,"Portland, OR (USA)",26 JUN 1983,1149
