"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,30.81,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"Mestský Stadion, Ostrava (CZE)",28 JUN 2017,1274
1,2,30.85,Michael JOHNSON,13 SEP 1967,USA,1,Pretoria (RSA),24 MAR 2000,1270
2,3,30.97,Usain BOLT,21 AUG 1986,JAM,1f1,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010,1259
3,4,31.03,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,Kingston (JAM),11 JUN 2016,1253
4,5,31.23,LaShawn MERRITT,27 JUN 1986,USA,2,Kingston (JAM),11 JUN 2016,1234
5,6,31.3,LaShawn MERRITT,27 JUN 1986,USA,1,"Eugene, OR (USA)",07 JUN 2009,1227
6,7,31.31,LaShawn MERRITT,27 JUN 1986,USA,1,"Eugene, OR (USA)",08 AUG 2006,1226
7,8,31.44,Isaac MAKWALA,24 SEP 1985,BOT,2,"Mestský Stadion, Ostrava (CZE)",28 JUN 2017,1214
8,9,31.48,Danny EVERETT,01 NOV 1966,USA,1,Jerez de la Frontera (ESP),03 SEP 1990,1210
9,9,31.48,Roberto HERNÁNDEZ,06 MAR 1967,CUB,2,Jerez de la Frontera (ESP),03 SEP 1990,1210
10,11,31.52,Steven GARDINER,12 SEP 1995,BAH,1,"Estadio Francisco Montaner, Ponce (PUR)",12 MAY 2022,1206
11,11,31.52,Letsile TEBOGO,07 JUN 2003,BOT,1,"Pilditch Stadium, Pretoria (RSA)",18 FEB 2023,1206
12,13,31.53,LaShawn MERRITT,27 JUN 1986,USA,1,"Atlanta, GA (USA)",01 AUG 2015,1205
13,14,31.56,Michael JOHNSON,13 SEP 1967,USA,1,Salamanca (ESP),22 JUL 1994,1203
14,14,31.56,Douglas WALKER,28 JUL 1973,GBR,1,Gateshead (GBR),19 JUL 1998,1203
15,16,31.59,Steven GARDINER,12 SEP 1995,BAH,1,"Pista Basilio Rodriguez, Carolina (PUR)",17 MAR 2023,1200
16,17,31.61,Anthuan MAYBANK,30 DEC 1969,USA,1,"Durham, NC (USA)",13 JUL 1996,1198
17,17,31.61,Clarence MUNYAI,20 FEB 1998,RSA,3,"Mestský Stadion, Ostrava (CZE)",28 JUN 2017,1198
18,19,31.63,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"Alexander Stadium, Birmingham (GBR)",07 JUN 2015,1196
19,20,31.64,Tony MCQUAY,16 APR 1990,USA,3,Kingston (JAM),11 JUN 2016,1195
20,21,31.67,John REGIS,13 OCT 1966,GBR,1,Gateshead (GBR),17 JUL 1992,1192
21,22,31.69,Roberto HERNÁNDEZ,06 MAR 1967,CUB,1,Bratislava (TCH),20 JUN 1990,1190
22,23,31.7,Kirk BAPTISTE,20 JUN 1963,USA,1,London (GBR),18 AUG 1984,1189
23,24,31.72,Michael JOHNSON,13 SEP 1967,USA,1,Gateshead (GBR),30 JUL 1993,1188
24,24,31.72,Jeremy WARINER,31 JAN 1984,USA,1,Ostrava (CZE),12 JUN 2008,1188
25,26,31.73,Thomas JEFFERSON,08 JUN 1962,USA,1,London (GBR),22 AUG 1987,1187
26,27,31.74,Gabriel TIACOH,10 SEP 1963,CIV,1,La Coruña (ESP),06 AUG 1986,1186
27,28,31.77,Tyler CHRISTOPHER,03 OCT 1983,CAN,1,Saint Anne (FRA),20 MAY 2004,1183
28,28,31.77,Isaac MAKWALA,24 SEP 1985,BOT,1,Pretoria (RSA),08 MAR 2018,1183
29,30,31.8,Pavel MASLÁK,21 FEB 1991,CZE,4,"Mestský Stadion, Ostrava (CZE)",28 JUN 2017,1180
30,31,31.81,Gil ROBERTS,15 MAR 1989,USA,4,Kingston (JAM),11 JUN 2016,1179
31,31,31.81,Vernon NORWOOD,10 APR 1992,USA,2,"Estadio Francisco Montaner, Ponce (PUR)",12 MAY 2022,1179
32,33,31.82,Steve LEWIS,16 MAY 1969,USA,2,Gateshead (GBR),17 JUL 1992,1178
33,34,31.83,Steven GARDINER,12 SEP 1995,BAH,1,"Santa Fe High School Track, Alachua, FL (USA)",05 JUL 2020,1177
34,35,31.87,Mark RICHARDSON,26 JUL 1972,GBR,2,Gateshead (GBR),19 JUL 1998,1174
35,35,31.87,Jonathan BORLÉE,22 FEB 1988,BEL,1,Liège (BEL),05 JUL 2012,1174
36,37,31.88,Darren CLARK,06 SEP 1965,AUS,1,Belfast (GBR),30 JUN 1986,1173
37,38,31.89,Luka JANEŽIČ,14 NOV 1995,SLO,1,Slovenska Bistrica (SLO),27 MAY 2017,1172
38,39,31.91,Isaac MAKWALA,24 SEP 1985,BOT,5,Kingston (JAM),11 JUN 2016,1170
39,40,31.92,Lalonde GORDON,25 NOV 1988,TTO,1,Liège (BEL),19 JUL 2017,1169
40,41,31.93,Xavier CARTER,08 DEC 1985,USA,2,"Eugene, OR (USA)",07 JUN 2009,1168
41,41,31.93,Karol ZALEWSKI,07 AUG 1993,POL,1,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1168
42,43,31.94,Rusheen MCDONALD,17 AUG 1992,JAM,1,"Stadio Guidobaldi, Rieti (ITA)",13 SEP 2015,1167
43,44,31.95,Michael JOHNSON,13 SEP 1967,USA,1,Gateshead (GBR),09 AUG 1991,1166
44,44,31.95,Gary KIKAYA,04 FEB 1978,COD,1,Villeneuve d'Ascq (FRA),12 JUN 2005,1166
45,44,31.95,Steven GARDINER,12 SEP 1995,BAH,1f1,"Santa Fe High School Track, Alachua, FL (USA)",27 JUN 2020,1166
46,47,31.96,Marc FOUCAN,14 OCT 1971,FRA,1,Strasbourg (FRA),29 JUN 1999,1165
47,48,31.97,Innocent EGBUNIKE,30 NOV 1961,NGR,1,London (GBR),08 AUG 1986,1164
48,48,31.97,Rusheen MCDONALD,17 AUG 1992,JAM,1,"Stadio Guidobaldi, Rieti (ITA)",08 SEP 2013,1164
49,50,31.98,John REGIS,13 OCT 1966,GBR,1,Belfast (GBR),19 JUN 1993,1163
50,51,31.99,John REGIS,13 OCT 1966,GBR,1,Belfast (GBR),21 JUN 1991,1163
51,51,31.99,Christopher BROWN,15 OCT 1978,BAH,2,"Alexander Stadium, Birmingham (GBR)",07 JUN 2015,1163
52,53,32.0,Alvin HARRISON,20 JAN 1974,USA,2,"Durham, NC (USA)",13 JUL 1996,1162
53,54,32.01,Darren CLARK,06 SEP 1965,AUS,2,London (GBR),08 AUG 1986,1161
54,54,32.01,Matteo GALVAN,24 AUG 1988,ITA,2,"Stadio Guidobaldi, Rieti (ITA)",07 SEP 2014,1161
55,56,32.04,Andrew VALMON,01 JAN 1965,USA,3,Jerez de la Frontera (ESP),03 SEP 1990,1158
56,56,32.04,Nathon ALLEN,28 OCT 1995,JAM,3,"Estadio Francisco Montaner, Ponce (PUR)",12 MAY 2022,1158
57,58,32.05,Innocent EGBUNIKE,30 NOV 1961,NGR,1,"Azusa, CA (USA)",28 MAR 1987,1157
58,58,32.05,Butch REYNOLDS,08 JUN 1964,USA,1,Belfast (GBR),20 JUL 1987,1157
59,58,32.05,Robson DA SILVA,04 SEP 1964,BRA,1,Jerez de la Frontera (ESP),17 SEP 1991,1157
60,58,32.05,Demetrius PINDER,13 FEB 1989,BAH,1f1,Liège (BEL),16 JUL 2014,1157
61,62,32.06,Butch REYNOLDS,08 JUN 1964,USA,1,Belfast (GBR),17 JUL 1989,1156
62,62,32.06,Jamie BAULCH,03 MAY 1973,GBR,1,Cardiff (GBR),31 MAY 1997,1156
63,64,32.07,Roberto HERNÁNDEZ,06 MAR 1967,CUB,1,Jerez de la Frontera (ESP),13 SEP 1989,1155
64,64,32.07,Quincy WATTS,19 JUN 1970,USA,2,Gateshead (GBR),30 JUL 1993,1155
65,64,32.07,Bryshon NELLUM,01 MAY 1989,USA,2,"Atlanta, GA (USA)",01 AUG 2015,1155
