"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,10:43.84,Tom BOSWORTH,17 JAN 1990,GBR,1.0,"Olympic Stadium, London (GBR)",21 JUL 2018,1217
1,2,10:47.08,Lebogang SHANGE,01 AUG 1990,RSA,2.0,"Olympic Stadium, London (GBR)",21 JUL 2018,1209
2,3,10:47.11,Giovanni DE BENEDICTIS,08 JAN 1968,ITA,,San Giovanni Valdarno (ITA),19 MAY 1990,1209
3,4,10:54.70,Dane BIRD-SMITH,15 JUL 1992,AUS,1.0,Brisbane (AUS),11 FEB 2017,1190
4,5,10:56.06,Dane BIRD-SMITH,15 JUL 1992,AUS,1.0,Brisbane (AUS),28 MAR 2018,1186
5,6,10:56.22,Andrew JACHNO,13 APR 1962,AUS,1.0,Melbourne (AUS),07 FEB 1991,1186
6,7,10:56.23,Dane BIRD-SMITH,15 JUL 1992,AUS,1.0,Cork (IRL),08 JUL 2014,1186
7,8,10:56.34,Roman MRÁZEK,21 JAN 1962,TCH,1.0,Bratislava (TCH),14 JUN 1989,1186
8,9,10:56.98,Dawid TOMALA,27 AUG 1989,POL,1.0,"x-bionic sphere, Šamorín (SVK)",29 JUN 2018,1184
9,10,10:57.77,Francesco FORTUNATO,13 DEC 1994,ITA,1.0,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1182
10,11,10:58.16,Kevin CAMPION,23 MAY 1988,FRA,2.0,Cork (IRL),08 JUL 2014,1181
11,12,10:58.47,Alex WRIGHT,19 DEC 1990,IRL,3.0,Cork (IRL),08 JUL 2014,1180
12,13,10:59.00,Callum WILKINSON,14 MAR 1997,GBR,1.0,Cork City (IRL),14 AUG 2019,1179
13,14,10:59.04,Luke ADAMS,22 OCT 1976,AUS,1.0,Cork (IRL),03 JUL 2010,1179
14,15,10:59.91,Gianluca PICCHIOTTINO,22 AUG 1996,ITA,2.0,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1177
15,16,11:00.2h,Jozef PRIBILINEC,06 JUL 1960,SVK,1.0,Banská Bystrica (TCH),30 AUG 1985,1176
16,17,11:00.24,Giovanni DE BENEDICTIS,08 JAN 1968,ITA,1.0,Formia (ITA),13 JUL 1997,1176
17,18,11:00.36,Dawid TOMALA,27 AUG 1989,POL,1.0,Šamorín (SVK),15 JUN 2019,1176
18,19,11:00.56,David SMITH,24 JUL 1955,AUS,1.0,Perth (AUS),24 JAN 1987,1175
19,20,11:00.68,Anton KUČMÍN,07 JUN 1984,SVK,1.0,Dubnica nad Váhom (SVK),21 AUG 2013,1175
20,21,11:01.32,Dane BIRD-SMITH,15 JUL 1992,AUS,1.0,Brisbane (AUS),23 MAR 2019,1173
21,22,11:03.01,Vladimir ANDREYEV,07 SEP 1966,RUS,4.0,Formia (ITA),13 JUL 1997,1169
22,23,11:03.32,Lebogang SHANGE,01 AUG 1990,RSA,2.0,"x-bionic sphere, Šamorín (SVK)",29 JUN 2018,1168
23,24,11:03.96,Matej TÓTH,10 FEB 1983,SVK,2.0,Dubnica nad Váhom (SVK),21 AUG 2013,1167
24,25,11:04.16,Dominik ČERNÝ,01 NOV 1997,SVK,2.0,Šamorín (SVK),15 JUN 2019,1166
25,26,11:05.40,Robert KORZENIOWSKI,30 JUL 1968,POL,2.0,Formia (ITA),13 JUL 1997,1163
26,27,11:05.95,Matej TÓTH,10 FEB 1983,SVK,1.0,Dubnica nad Váhom (SVK),26 AUG 2012,1162
27,28,11:06.15,Massimo STANO,27 FEB 1992,ITA,3.0,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1161
28,29,11:06.28,Alex WRIGHT,19 DEC 1990,IRL,2.0,Cork City (IRL),14 AUG 2019,1161
29,30,11:07.2h,Mike TRAUTMANN,13 MAR 1974,GER,1.0,Potchefstroom (RSA),05 FEB 1999,1159
30,31,11:07.21,Miroslav ÚRADNÍK,24 MAR 1996,SVK,1.0,"x-bionic sphere, Šamorín (SVK)",11 SEP 2020,1159
31,32,11:07.75,Maurizio DAMILANO,06 APR 1957,ITA,1.0,Formia (ITA),29 JUL 1981,1157
32,33,11:08.01,Diego GARCÍA CARRERA,19 JAN 1996,ESP,4.0,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1157
33,34,11:08.5h,Frants KOSTYUKEVICH,04 APR 1963,URS,2.0,Banská Bystrica (TCH),30 AUG 1985,1155
34,35,11:08.76,Giovanni DE BENEDICTIS,08 JAN 1968,ITA,1.0,Bologna (ITA),18 JUL 1990,1155
35,36,11:09.08,Robert HEFFERNAN,28 FEB 1978,IRL,4.0,Cork (IRL),08 JUL 2014,1154
36,37,11:10.03,Wayne SNYMAN,08 MAR 1985,RSA,1.0,Brisbane (AUS),06 FEB 2016,1152
37,38,11:10.22,Wayne SNYMAN,08 MAR 1985,RSA,2.0,Brisbane (AUS),11 FEB 2017,1151
38,39,11:10.79,Dawid TOMALA,27 AUG 1989,POL,1.0,Sosnowiec (POL),21 SEP 2011,1150
39,40,11:11.14,Anton KUČMÍN,07 JUN 1984,SVK,1.0,Dubnica nad Váhom (SVK),30 AUG 2014,1149
40,41,11:11.2h,Erling ANDERSEN,22 SEP 1960,NOR,1.0,Bergen (NOR),23 SEP 1981,1149
