"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,45.94,Karsten WARHOLM,28 FEB 1996,NOR,1,"National Stadium, Tokyo (JPN)",03 AUG 2021,1341
1,2,46.17,Rai BENJAMIN,27 JUL 1997,USA,2,"National Stadium, Tokyo (JPN)",03 AUG 2021,1328
2,3,46.29,Alison DOS SANTOS,03 JUN 2000,BRA,1,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1322
3,4,46.52,Karsten WARHOLM,28 FEB 1996,NOR,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1309
4,5,46.7,Karsten WARHOLM,28 FEB 1996,NOR,1,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1300
5,6,46.72,Alison DOS SANTOS,03 JUN 2000,BRA,3,"National Stadium, Tokyo (JPN)",03 AUG 2021,1299
6,7,46.78,Kevin YOUNG,16 SEP 1966,USA,1,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1296
7,8,46.8,Alison DOS SANTOS,03 JUN 2000,BRA,1,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1294
8,9,46.83,Rai BENJAMIN,27 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1293
9,10,46.87,Karsten WARHOLM,28 FEB 1996,NOR,1,"Olympiastadion, Stockholm (SWE)",23 AUG 2020,1291
10,11,46.89,Rai BENJAMIN,27 JUL 1997,USA,2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1290
11,12,46.92,Karsten WARHOLM,28 FEB 1996,NOR,1,"Letzigrund, Zürich (SUI)",29 AUG 2019,1288
12,13,46.98,Abderrahman SAMBA,05 SEP 1995,QAT,1,"Stade Charléty, Paris (FRA)",30 JUN 2018,1285
13,13,46.98,Rai BENJAMIN,27 JUL 1997,USA,2,"Letzigrund, Zürich (SUI)",29 AUG 2019,1285
14,13,46.98,Alison DOS SANTOS,03 JUN 2000,BRA,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1285
15,16,47.02,Edwin MOSES,31 AUG 1955,USA,1,Koblenz (GER),31 AUG 1983,1283
16,16,47.02,Rai BENJAMIN,27 JUL 1997,USA,1,"Eugene, OR (USA)",08 JUN 2018,1283
17,18,47.03,Bryan BRONSON,09 SEP 1972,USA,1,"New Orleans, LA (USA)",21 JUN 1998,1282
18,19,47.04,Rai BENJAMIN,27 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1282
19,20,47.07,Karsten WARHOLM,28 FEB 1996,NOR,1,"Stadio Olimpico, Roma (ITA)",17 SEP 2020,1280
20,21,47.08,Karsten WARHOLM,28 FEB 1996,NOR,1,"Olympiastadion, Berlin (GER)",13 SEP 2020,1280
21,21,47.08,Karsten WARHOLM,28 FEB 1996,NOR,1,"Stade Louis II, Monaco (MON)",09 JUL 2021,1280
22,21,47.08,Kyron MCMASTER,03 JAN 1997,IVB,4,"National Stadium, Tokyo (JPN)",03 AUG 2021,1280
23,24,47.1,Samuel MATETE,27 JUL 1968,ZAM,1f1,"Letzigrund, Zürich (SUI)",07 AUG 1991,1279
24,24,47.1,Karsten WARHOLM,28 FEB 1996,NOR,1,"Stade Louis II, Monaco (MON)",14 AUG 2020,1279
25,26,47.12,Karsten WARHOLM,28 FEB 1996,NOR,1,"Olympic Stadium, London (GBR)",20 JUL 2019,1277
26,26,47.12,Abderrahman SAMBA,05 SEP 1995,QAT,5,"National Stadium, Tokyo (JPN)",03 AUG 2021,1277
27,26,47.12,Karsten WARHOLM,28 FEB 1996,NOR,1,"Olympiastadion, München (GER)",19 AUG 2022,1277
28,29,47.13,Edwin MOSES,31 AUG 1955,USA,1,Milano (ITA),03 JUL 1980,1277
29,29,47.13,Rai BENJAMIN,27 JUL 1997,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1277
30,31,47.14,Edwin MOSES,31 AUG 1955,USA,1,Lausanne (SUI),14 JUL 1981,1276
31,32,47.16,Rai BENJAMIN,27 JUL 1997,USA,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1275
32,33,47.17,Edwin MOSES,31 AUG 1955,USA,1,Berlin (GER),08 AUG 1980,1275
33,34,47.18,Kevin YOUNG,16 SEP 1966,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",19 AUG 1993,1274
34,35,47.19,André PHILLIPS,05 SEP 1959,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",25 SEP 1988,1274
35,36,47.23,Amadou DIA BÂ,22 SEP 1958,SEN,2,"Olympic Stadium, Jamsil, Seoul (KOR)",25 SEP 1988,1272
36,36,47.23,Rai BENJAMIN,27 JUL 1997,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 JUL 2019,1272
37,36,47.23,Alison DOS SANTOS,03 JUN 2000,BRA,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1272
38,39,47.24,Kerron CLEMENT,31 OCT 1985,USA,1,"Carson, CA (USA)",26 JUN 2005,1271
39,39,47.24,Alison DOS SANTOS,03 JUN 2000,BRA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",13 MAY 2022,1271
40,39,47.24,Karsten WARHOLM,28 FEB 1996,NOR,1,"Olympiastadion, Berlin (GER)",04 SEP 2022,1271
41,42,47.25,Félix SÁNCHEZ,30 AUG 1977,DOM,1,"Stade de France, Paris-St-Denis (FRA)",29 AUG 2003,1271
42,42,47.25,Angelo TAYLOR,29 DEC 1978,USA,1,"National Stadium, Beijing (CHN)",18 AUG 2008,1271
43,44,47.26,Karsten WARHOLM,28 FEB 1996,NOR,1,"Stade Charléty, Paris (FRA)",24 AUG 2019,1270
44,44,47.26,Alison DOS SANTOS,03 JUN 2000,BRA,1,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1270
45,46,47.27,Edwin MOSES,31 AUG 1955,USA,1,Berlin (GER),21 AUG 1981,1270
46,46,47.27,Abderrahman SAMBA,05 SEP 1995,QAT,1,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019,1270
47,48,47.3,Bershawn JACKSON,08 MAY 1983,USA,1,"Olympiastadion, Helsinki (FIN)",09 AUG 2005,1268
48,48,47.3,Karsten WARHOLM,28 FEB 1996,NOR,1sf1,"National Stadium, Tokyo (JPN)",01 AUG 2021,1268
49,50,47.31,Alison DOS SANTOS,03 JUN 2000,BRA,1sf2,"National Stadium, Tokyo (JPN)",01 AUG 2021,1267
50,51,47.32,Edwin MOSES,31 AUG 1955,USA,1,Koblenz (GER),29 AUG 1984,1267
51,51,47.32,Bershawn JACKSON,08 MAY 1983,USA,1,"Drake Stadium, Des Moines, IA (USA)",26 JUN 2010,1267
52,53,47.33,Karsten WARHOLM,28 FEB 1996,NOR,1,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1266
53,54,47.34,Alison DOS SANTOS,03 JUN 2000,BRA,1,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1266
54,54,47.34,Kyron MCMASTER,03 JAN 1997,IVB,1,"Grand Bahama Sports Complex, Freeport (BAH)",21 AUG 2022,1266
55,56,47.35,Félix SÁNCHEZ,30 AUG 1977,DOM,1f1,Zürich (SUI),16 AUG 2002,1265
56,56,47.35,Karsten WARHOLM,28 FEB 1996,NOR,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1265
57,58,47.37,Edwin MOSES,31 AUG 1955,USA,1,"Stadio Olimpico, Roma (ITA)",04 SEP 1981,1264
58,58,47.37,Edwin MOSES,31 AUG 1955,USA,1,Zürich (SUI),24 AUG 1983,1264
59,58,47.37,Edwin MOSES,31 AUG 1955,USA,1,"Indianapolis, IN (USA)",17 JUL 1988,1264
60,58,47.37,Kevin YOUNG,16 SEP 1966,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 1993,1264
61,58,47.37,Stéphane DIAGANA,23 JUL 1969,FRA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 1995,1264
62,58,47.37,Abderrahman SAMBA,05 SEP 1995,QAT,1,Ostrava (CZE),08 SEP 2018,1264
63,58,47.37,Rai BENJAMIN,27 JUL 1997,USA,2sf1,"National Stadium, Tokyo (JPN)",01 AUG 2021,1264
64,65,47.38,Edwin MOSES,31 AUG 1955,USA,1,Lausanne (SUI),02 SEP 1986,1264
65,65,47.38,Danny HARRIS,07 SEP 1965,USA,1,Lausanne (SUI),10 JUL 1991,1264
66,65,47.38,Félix SÁNCHEZ,30 AUG 1977,DOM,1f1,"Letzigrund, Zürich (SUI)",17 AUG 2001,1264
67,65,47.38,Rai BENJAMIN,27 JUL 1997,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1264
68,65,47.38,Alison DOS SANTOS,03 JUN 2000,BRA,2,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1264
69,70,47.39,Kerron CLEMENT,31 OCT 1985,USA,1,"Indianapolis, IN (USA)",24 JUN 2006,1263
70,70,47.39,Trevor BASSITT,26 FEB 1998,USA,3,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1263
71,72,47.4,Kevin YOUNG,16 SEP 1966,USA,1,Zürich (SUI),19 AUG 1992,1263
72,73,47.41,Abderrahman SAMBA,05 SEP 1995,QAT,1,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1262
73,73,47.41,Wilfried HAPPIO,22 SEP 1998,FRA,4,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1262
74,75,47.42,Kevin YOUNG,16 SEP 1966,USA,1,Köln (GER),16 AUG 1992,1262
75,75,47.42,Abderrahman SAMBA,05 SEP 1995,QAT,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1262
76,75,47.42,Karsten WARHOLM,28 FEB 1996,NOR,1,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1262
77,78,47.43,Edwin MOSES,31 AUG 1955,USA,1,Köln (GER),28 AUG 1983,1261
78,78,47.43,James CARTER,07 MAY 1978,USA,2,"Olympiastadion, Helsinki (FIN)",09 AUG 2005,1261
79,78,47.43,Karsten WARHOLM,28 FEB 1996,NOR,1,Hamar (NOR),02 AUG 2019,1261
