"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,86.74,Yuriy SEDYKH,11 JUN 1955,URS,1,"Neckarstadion, Stuttgart (GER)",30 AUG 1986,1307
1,2,86.66,Yuriy SEDYKH,11 JUN 1955,URS,1,Tallinn (EST),22 JUN 1986,1306
2,3,86.34,Yuriy SEDYKH,11 JUN 1955,URS,1,Cork (IRL),03 JUL 1984,1301
3,4,86.04,Sergey LITVINOV,23 JAN 1958,URS,1,Dresden (GER),03 JUL 1986,1297
4,5,85.74,Sergey LITVINOV,23 JAN 1958,URS,2,"Neckarstadion, Stuttgart (GER)",30 AUG 1986,1292
5,6,85.68,Yuriy SEDYKH,11 JUN 1955,URS,1,Budapest (HUN),11 AUG 1986,1291
6,7,85.6,Yuriy SEDYKH,11 JUN 1955,URS,1,London (GBR),13 JUL 1984,1290
7,7,85.6,Yuriy SEDYKH,11 JUN 1955,URS,1,Moskva (URS),17 AUG 1984,1290
8,9,85.2,Sergey LITVINOV,23 JAN 1958,URS,2,Cork (IRL),03 JUL 1984,1283
9,10,85.14,Sergey LITVINOV,23 JAN 1958,URS,1,London (GBR),11 JUL 1986,1283
10,10,85.14,Yuriy SEDYKH,11 JUN 1955,URS,1,Moskva (URS),04 SEP 1988,1283
11,12,85.02,Yuriy SEDYKH,11 JUN 1955,URS,1,Budapest (HUN),20 AUG 1984,1281
12,13,84.92,Yuriy SEDYKH,11 JUN 1955,URS,2,Dresden (GER),03 JUL 1986,1279
13,14,84.9,Vadim DEVYATOVSKIY,20 MAR 1977,BLR,1,Minsk (BLR),21 JUL 2005,1279
14,15,84.88,Sergey LITVINOV,23 JAN 1958,URS,1,"Stadio Olimpico, Roma (ITA)",10 SEP 1986,1279
15,16,84.86,Koji MUROFUSHI,08 OCT 1974,JPN,1,"Stadion Juliska, Praha (CZE)",29 JUN 2003,1278
16,17,84.8,Sergey LITVINOV,23 JAN 1958,URS,1,"Olympic Stadium, Jamsil, Seoul (KOR)",26 SEP 1988,1277
17,18,84.72,Yuriy SEDYKH,11 JUN 1955,URS,1,Moskva (URS),09 JUL 1986,1276
18,19,84.64,Sergey LITVINOV,23 JAN 1958,URS,2,Moskva (URS),09 JUL 1986,1275
19,20,84.62,Igor ASTAPKOVICH,04 JAN 1963,BLR,1,Sevilla (ESP),06 JUN 1992,1274
20,21,84.6,Yuriy SEDYKH,11 JUN 1955,URS,1,Tokyo (JPN),14 SEP 1984,1274
21,22,84.58,Yuriy SEDYKH,11 JUN 1955,URS,1,Leningrad (URS),08 JUN 1986,1274
22,23,84.51,Ivan TIKHON,24 JUL 1976,BLR,1,Grodno (BLR),09 JUL 2008,1273
23,24,84.48,Igor NIKULIN,14 AUG 1960,URS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1272
24,25,84.46,Yuriy SEDYKH,11 JUN 1955,URS,1,Vladivostok (URS),14 SEP 1988,1272
25,25,84.46,Ivan TIKHON,24 JUL 1976,BLR,1,Minsk (BLR),07 MAY 2004,1272
