"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,98.48,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Jena (GER),25 MAY 1996,1365
1,2,97.76,Johannes VETTER,26 MAR 1993,GER,1,"Stadion Śląski, Chorzów (POL)",06 SEP 2020,1355
2,3,96.29,Johannes VETTER,26 MAR 1993,GER,1,"Stadion Śląski, Chorzów (POL)",29 MAY 2021,1334
3,4,95.66,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Sheffield (GBR),29 AUG 1993,1325
4,5,95.54,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Pietersburg (RSA),06 APR 1993,1323
5,6,94.64,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Ostrava (CZE),31 MAY 1996,1310
6,7,94.44,Johannes VETTER,26 MAR 1993,GER,1,Luzern (SUI),11 JUL 2017,1307
7,8,94.2,Johannes VETTER,26 MAR 1993,GER,1,"Mestský Stadion, Ostrava (CZE)",19 MAY 2021,1304
8,9,94.02,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Stellenbosch (RSA),26 MAR 1997,1301
9,10,93.9,Thomas RÖHLER,30 SEP 1991,GER,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1299
10,11,93.88,Johannes VETTER,26 MAR 1993,GER,1,Thum (GER),18 AUG 2017,1299
11,12,93.59,Johannes VETTER,26 MAR 1993,GER,1,"Kuortaneen keskusurheilukenttä, Kuortane (FIN)",26 JUN 2021,1295
12,13,93.2,Johannes VETTER,26 MAR 1993,GER,1,"Paul-Greifzu-Stadion, Dessau (GER)",21 MAY 2021,1289
13,14,93.09,Aki PARVIAINEN,26 OCT 1974,FIN,1,Kuortane (FIN),26 JUN 1999,1288
14,15,93.07,Anderson PETERS,21 OCT 1997,GRN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",13 MAY 2022,1288
15,16,93.06,Johannes VETTER,26 MAR 1993,GER,,Luzern (SUI),11 JUL 2017,1287
16,17,92.8,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1284
17,18,92.72,Julius YEGO,04 JAN 1989,KEN,1,"National Stadium, Beijing (CHN)",26 AUG 2015,1283
18,19,92.7,Johannes VETTER,26 MAR 1993,GER,1f1,Leiria (POR),11 MAR 2018,1282
19,20,92.61,Sergey MAKAROV,19 MAR 1973,RUS,1,Sheffield (GBR),30 JUN 2002,1281
20,21,92.6,Raymond HECHT,11 NOV 1968,GER,1,Oslo (NOR),21 JUL 1995,1281
21,22,92.42,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Ostrava (CZE),28 MAY 1997,1278
22,23,92.41,Aki PARVIAINEN,26 OCT 1974,FIN,1,Vaasa (FIN),24 JUN 2001,1278
23,24,92.28,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,"Stade Louis II, Monaco (MON)",09 SEP 1995,1276
24,24,92.28,Raymond HECHT,11 NOV 1968,GER,1,Zürich (SUI),14 AUG 1996,1276
25,26,92.14,Johannes VETTER,26 MAR 1993,GER,1f1,"Stadion Allmend, Luzern (SUI)",29 JUN 2021,1274
26,27,92.12,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,London (GBR),27 AUG 1995,1274
27,27,92.12,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Tokyo (JPN),15 SEP 1995,1274
28,29,92.06,Andreas HOFMANN,16 DEC 1991,GER,1,Offenburg (GER),02 JUN 2018,1273
29,30,91.82,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Sheffield (GBR),04 SEP 1994,1270
30,31,91.78,Thomas RÖHLER,30 SEP 1991,GER,1,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1269
31,32,91.69,Konstantinos GATSIOUDIS,17 DEC 1973,GRE,1,Kuortane (FIN),24 JUN 2000,1268
