"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,2:01:09,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),25 SEP 2022,1312
1,2,2:01:25,Kelvin KIPTUM,02 DEC 1999,KEN,1,London (GBR),23 APR 2023,1307
2,3,2:01:39,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),16 SEP 2018,1303
3,4,2:01:41,Kenenisa BEKELE,13 JUN 1982,ETH,1,Berlin (GER),29 SEP 2019,1302
4,5,2:01:53,Kelvin KIPTUM,02 DEC 1999,KEN,1,Valencia (ESP),04 DEC 2022,1299
5,6,2:02:37,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),28 APR 2019,1286
6,7,2:02:40,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Tokyo (JPN),06 MAR 2022,1285
7,8,2:02:48,Birhanu LEGESE,11 SEP 1994,ETH,2,Berlin (GER),29 SEP 2019,1283
8,9,2:02:55,Mosinet GEREMEW,12 FEB 1992,ETH,2,London (GBR),28 APR 2019,1281
9,10,2:02:57,Dennis KIMETTO,22 APR 1984,KEN,1,Berlin (GER),28 SEP 2014,1280
10,10,2:02:57,Titus EKIRU,02 JAN 1992,KEN,1,Milano (ITA),16 MAY 2021,1280
11,12,2:03:00,Evans CHEBET,10 NOV 1988,KEN,1,Valencia (ESP),06 DEC 2020,1279
12,12,2:03:00,Gabriel Gerald GEAY,10 SEP 1996,TAN,2,Valencia (ESP),04 DEC 2022,1279
13,14,2:03:03,Kenenisa BEKELE,13 JUN 1982,ETH,1,Berlin (GER),25 SEP 2016,1278
14,15,2:03:04,Lawrence CHERONO,07 AUG 1988,KEN,2,Valencia (ESP),06 DEC 2020,1278
15,16,2:03:05,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),24 APR 2016,1278
16,17,2:03:13,Emmanuel MUTAI,12 OCT 1984,KEN,2,Berlin (GER),28 SEP 2014,1275
17,17,2:03:13,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,2,Berlin (GER),25 SEP 2016,1275
18,17,2:03:13,Amos KIPRUTO,16 SEP 1992,KEN,2,Tokyo (JPN),06 MAR 2022,1275
19,20,2:03:16,Mule WASIHUN,20 OCT 1993,ETH,3,London (GBR),28 APR 2019,1275
20,20,2:03:16,Birhanu LEGESE,11 SEP 1994,ETH,3,Valencia (ESP),06 DEC 2020,1275
21,22,2:03:23,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Berlin (GER),29 SEP 2013,1273
22,23,2:03:29,Alexander Mutiso MUNYAO,10 SEP 1996,KEN,3,Valencia (ESP),04 DEC 2022,1271
23,24,2:03:30,Amos KIPRUTO,16 SEP 1992,KEN,4,Valencia (ESP),06 DEC 2020,1270
24,25,2:03:32,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),24 SEP 2017,1270
25,26,2:03:34,Getaneh MOLLA,10 JAN 1994,ETH,1,Dubai (UAE),25 JAN 2019,1269
26,27,2:03:36,Sisay LEMMA,12 DEC 1990,ETH,3,Berlin (GER),29 SEP 2019,1269
27,27,2:03:36,Bashir ABDI,10 FEB 1989,BEL,1,Rotterdam (NED),24 OCT 2021,1269
28,29,2:03:38,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,Berlin (GER),25 SEP 2011,1268
29,30,2:03:39,Tamirat TOLA,11 AUG 1991,ETH,1,Amsterdam (NED),17 OCT 2021,1268
30,31,2:03:40,Herpasa NEGASA,11 SEP 1993,ETH,2,Dubai (UAE),25 JAN 2019,1268
31,31,2:03:40,Tamirat TOLA,11 AUG 1991,ETH,4,Valencia (ESP),04 DEC 2022,1268
32,33,2:03:42,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Frankfurt (GER),30 OCT 2011,1267
33,34,2:03:45,Dennis KIMETTO,22 APR 1984,KEN,1,"Chicago, IL (USA)",13 OCT 2013,1266
34,35,2:03:46,Guye Idemo ADOLA,20 OCT 1990,ETH,2,Berlin (GER),24 SEP 2017,1266
