"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,3:43.13,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1292
1,2,3:43.40,Noah NGENY,02 NOV 1978,KEN,2,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1288
2,3,3:44.39,Noureddine MORCELI,28 FEB 1970,ALG,1,Rieti (ITA),05 SEP 1993,1275
3,4,3:44.60,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Nice (FRA),16 JUL 1998,1272
4,5,3:44.90,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Oslo (NOR),04 JUL 1997,1268
5,6,3:44.95,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1267
6,7,3:45.19,Noureddine MORCELI,28 FEB 1970,ALG,1,Zürich (SUI),16 AUG 1995,1264
7,8,3:45.64,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Olympiastadion, Berlin (GER)",26 AUG 1997,1258
8,9,3:45.96,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Crystal Palace, London (GBR)",05 AUG 2000,1254
9,10,3:46.24,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1250
10,11,3:46.32,Steve CRAM,14 OCT 1960,GBR,1,Oslo (NOR),27 JUL 1985,1249
11,12,3:46.38,Daniel KOMEN,17 MAY 1976,KEN,2,"Olympiastadion, Berlin (GER)",26 AUG 1997,1248
12,13,3:46.46,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1247
13,14,3:46.70,Vénuste NIYONGABO,09 DEC 1973,BDI,3,"Olympiastadion, Berlin (GER)",26 AUG 1997,1244
14,15,3:46.76,Saïd AOUITA,02 NOV 1959,MAR,1,Helsinki (FIN),02 JUL 1987,1243
15,16,3:46.78,Noureddine MORCELI,28 FEB 1970,ALG,1,"Olympiastadion, Berlin (GER)",27 AUG 1993,1243
16,17,3:46.91,Alan WEBB,13 JAN 1983,USA,1,Brasschaat (BEL),21 JUL 2007,1241
17,18,3:46.92,Saïd AOUITA,02 NOV 1959,MAR,1,"Letzigrund, Zürich (SUI)",21 AUG 1985,1241
18,19,3:47.10,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Crystal Palace, London (GBR)",07 AUG 1999,1239
19,20,3:47.24,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1237
20,21,3:47.28,Bernard LAGAT,12 DEC 1974,KEN,2,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1236
21,22,3:47.30,Noureddine MORCELI,28 FEB 1970,ALG,1,Bruxelles (BEL),03 SEP 1993,1236
22,23,3:47.32,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1236
23,24,3:47.33,Sebastian COE,29 SEP 1956,GBR,1,Bruxelles (BEL),28 AUG 1981,1236
24,25,3:47.48,Oliver HOARE,29 JAN 1997,AUS,2,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1234
25,26,3:47.65,Laban ROTICH,20 JAN 1969,KEN,2,Oslo (NOR),04 JUL 1997,1232
26,27,3:47.67,Noah NGENY,02 NOV 1978,KEN,2,"Crystal Palace, London (GBR)",05 AUG 2000,1231
27,28,3:47.69,Steve SCOTT,05 MAY 1956,USA,1,Oslo (NOR),07 JUL 1982,1231
28,29,3:47.78,Noureddine MORCELI,28 FEB 1970,ALG,1,Oslo (NOR),10 JUL 1993,1230
29,30,3:47.79,José Luis GONZÁLEZ,08 DEC 1957,ESP,2,Oslo (NOR),27 JUL 1985,1230
30,31,3:47.85,Daniel KOMEN,17 MAY 1976,KEN,1,Rieti (ITA),03 SEP 1997,1229
31,32,3:47.88,John Kemboi KIBOWEN,21 APR 1969,KEN,3,Oslo (NOR),04 JUL 1997,1228
32,32,3:47.88,Silas KIPLAGAT,20 AUG 1989,KEN,2f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1228
33,34,3:47.91,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Bruxelles (BEL),25 AUG 2000,1228
34,35,3:47.94,William CHIRCHIR,06 FEB 1979,KEN,2,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1228
35,36,3:47.97,Daham Najim BASHIR,08 NOV 1979,QAT,1,Oslo (NOR),29 JUL 2005,1227
36,37,3:48.15,Noureddine MORCELI,28 FEB 1970,ALG,1,Oslo (NOR),05 JUL 1996,1225
37,38,3:48.17,Paul KORIR,15 JUL 1977,KEN,1,"Crystal Palace, London (GBR)",08 AUG 2003,1225
38,39,3:48.23,William CHIRCHIR,06 FEB 1979,KEN,2,Bruxelles (BEL),25 AUG 2000,1224
39,39,3:48.23,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,Oslo (NOR),13 JUL 2001,1224
40,41,3:48.26,Noureddine MORCELI,28 FEB 1970,ALG,1,"Olympiastadion, Berlin (GER)",01 SEP 1995,1224
41,41,3:48.26,Vénuste NIYONGABO,09 DEC 1973,BDI,4,Oslo (NOR),04 JUL 1997,1224
42,43,3:48.28,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1223
43,43,3:48.28,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,1,"Eugene, OR (USA)",10 JUN 2007,1223
44,45,3:48.31,Steve CRAM,14 OCT 1960,GBR,1,Oslo (NOR),05 JUL 1986,1223
45,46,3:48.37,Stewart MCSWEYN,01 JUN 1995,AUS,1,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1222
46,47,3:48.38,Andrés Manuel DÍAZ,12 JUL 1969,ESP,3,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1222
47,47,3:48.38,Bernard LAGAT,12 DEC 1974,USA,2,Oslo (NOR),29 JUL 2005,1222
48,49,3:48.40,Steve OVETT,09 OCT 1955,GBR,1,Koblenz (GER),26 AUG 1981,1222
49,49,3:48.40,Stewart MCSWEYN,01 JUN 1995,AUS,2,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1222
50,51,3:48.49,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,3,Oslo (NOR),29 JUL 2005,1220
51,52,3:48.50,Asbel KIPROP,30 JUN 1989,KEN,1,"Eugene, OR (USA)",07 JUN 2009,1220
52,53,3:48.53,Sebastian COE,29 SEP 1956,GBR,1,Zürich (SUI),19 AUG 1981,1220
53,53,3:48.53,Steve SCOTT,05 MAY 1956,USA,1,Oslo (NOR),26 JUN 1982,1220
54,55,3:48.57,Bernard LAGAT,12 DEC 1974,KEN,2,Oslo (NOR),13 JUL 2001,1219
55,56,3:48.60,Aman WOTE,18 APR 1984,ETH,3f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1219
56,57,3:48.64,Noureddine MORCELI,28 FEB 1970,ALG,1,Nice (FRA),16 JUL 1997,1219
57,58,3:48.67,Noureddine MORCELI,28 FEB 1970,ALG,1,St. Petersburg (RUS),26 JUL 1994,1218
58,59,3:48.69,Hicham EL GUERROUJ,14 SEP 1974,MAR,2,Zürich (SUI),16 AUG 1995,1218
59,60,3:48.73,Steve SCOTT,05 MAY 1956,USA,2,Oslo (NOR),05 JUL 1986,1217
60,61,3:48.78,Haron KEITANY,17 DEC 1983,KEN,2,"Eugene, OR (USA)",07 JUN 2009,1217
61,62,3:48.8h,Steve OVETT,09 OCT 1955,GBR,1,Oslo (NOR),01 JUL 1980,1216
62,62,3:48.80,William KEMEI,22 FEB 1969,KEN,1,"Olympiastadion, Berlin (GER)",21 AUG 1992,1216
63,64,3:48.83,Sydney MAREE,09 SEP 1956,USA,1,Rieti (ITA),09 SEP 1981,1216
64,65,3:48.85,Sydney MAREE,09 SEP 1956,USA,2,Oslo (NOR),26 JUN 1982,1216
65,65,3:48.85,Steve CRAM,14 OCT 1960,GBR,1,Oslo (NOR),02 JUL 1988,1216
66,67,3:48.92,Alan WEBB,13 JAN 1983,USA,4,Oslo (NOR),29 JUL 2005,1215
67,68,3:48.94,Vénuste NIYONGABO,09 DEC 1973,BDI,1,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1215
68,69,3:48.95,Sebastian COE,29 SEP 1956,GBR,1,Oslo (NOR),17 JUL 1979,1214
69,69,3:48.95,Deresse MEKONNEN,20 OCT 1987,ETH,1,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1214
70,71,3:48.98,Craig MOTTRAM,18 JUN 1980,AUS,5,Oslo (NOR),29 JUL 2005,1214
71,72,3:49.01,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Paris (FRA),29 JUL 1998,1214
72,73,3:49.04,Ronald KWEMOI,19 SEP 1995,KEN,1f1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1213
73,74,3:49.08,John WALKER,12 JAN 1952,NZL,2,Oslo (NOR),07 JUL 1982,1213
74,74,3:49.08,Elijah Motonei MANANGOI,05 JAN 1993,KEN,2f1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1213
75,76,3:49.09,Noureddine MORCELI,28 FEB 1970,ALG,1,Berlin (GER),30 AUG 1996,1213
76,76,3:49.09,Haron KEITANY,17 DEC 1983,KEN,1,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1213
77,76,3:49.09,Abdelaati IGUIDER,25 MAR 1987,MAR,4f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1213
78,79,3:49.11,Marcin LEWANDOWSKI,13 JUN 1987,POL,2,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1212
79,80,3:49.12,Saïd AOUITA,02 NOV 1959,MAR,1,Nice (FRA),13 JUL 1987,1212
80,80,3:49.12,Noureddine MORCELI,28 FEB 1970,ALG,1,Lausanne (SUI),10 JUL 1991,1212
81,82,3:49.20,Peter ELLIOTT,09 OCT 1962,GBR,2,Oslo (NOR),02 JUL 1988,1211
82,83,3:49.21,Steve SCOTT,05 MAY 1956,USA,1,Berlin (GER),17 AUG 1983,1211
83,84,3:49.22,Sebastian COE,29 SEP 1956,GBR,3,Oslo (NOR),27 JUL 1985,1211
84,84,3:49.22,Jens-Peter HEROLD,02 JUN 1965,GDR,3,Oslo (NOR),02 JUL 1988,1211
85,84,3:49.22,Asbel KIPROP,30 JUN 1989,KEN,1,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,1211
86,87,3:49.25,Steve OVETT,09 OCT 1955,GBR,1,Oslo (NOR),11 JUL 1981,1211
87,88,3:49.26,Matthew CENTROWITZ,18 OCT 1989,USA,1,"Jesuit High School Track, Portland, OR (USA)",24 JUL 2021,1210
88,89,3:49.27,Jye EDWARDS,06 MAR 1998,AUS,3,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1210
89,90,3:49.29,Ilham Tanui ÖZBILEN,05 MAR 1990,KEN,2,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1210
90,91,3:49.31,Joe FALCON,23 JUN 1966,USA,1,Oslo (NOR),14 JUL 1990,1210
91,92,3:49.34,David MOORCROFT,10 APR 1953,GBR,3,Oslo (NOR),26 JUN 1982,1209
92,92,3:49.34,Benjamin KIPKURUI,28 DEC 1980,KEN,3,Bruxelles (BEL),25 AUG 2000,1209
93,94,3:49.38,Andrew BADDELEY,20 JUN 1982,GBR,1,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1209
94,95,3:49.39,Silas KIPLAGAT,20 AUG 1989,KEN,2,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1209
95,96,3:49.4h,John WALKER,12 JAN 1952,NZL,1,Göteborg (SWE),12 AUG 1975,1209
96,96,3:49.40,Abdi BILE,28 DEC 1962,SOM,4,Oslo (NOR),02 JUL 1988,1209
97,96,3:49.40,Asbel KIPROP,30 JUN 1989,KEN,1,"Hayward Field, Eugene, OR (USA)",02 JUN 2012,1209
