"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,6.21,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1325
1,2,6.16,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1311
2,3,6.15,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stadio Olimpico, Roma (ITA)",17 SEP 2020,1308
3,4,6.14,Sergey BUBKA,04 DEC 1963,UKR,1,Sestriere (ITA),31 JUL 1994,1306
4,5,6.13,Sergey BUBKA,04 DEC 1963,UKR,1,Tokyo (JPN),19 SEP 1992,1303
5,6,6.12,Sergey BUBKA,04 DEC 1963,UKR,1,Padova (ITA),30 AUG 1992,1300
6,6,6.12,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2023,1300
7,8,6.11,Sergey BUBKA,04 DEC 1963,UKR,1,Dijon (FRA),13 JUN 1992,1297
8,8,6.11,Armand DUPLANTIS,10 NOV 1999,SWE,1,"FBK Stadium, Hengelo (NED)",04 JUN 2023,1297
9,10,6.1,Sergey BUBKA,04 DEC 1963,URS,1,Malmö (SWE),05 AUG 1991,1294
10,10,6.1,Armand DUPLANTIS,10 NOV 1999,SWE,1,"FBK Stadium, Hengelo (NED)",06 JUN 2021,1294
11,10,6.1,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stadion Śląski, Chorzów (POL)",06 AUG 2022,1294
12,10,6.1,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2022,1294
13,14,6.09,Sergey BUBKA,04 DEC 1963,URS,1,Formia (ITA),08 JUL 1991,1292
14,15,6.08,Sergey BUBKA,04 DEC 1963,URS,1,Moskva (URS),09 JUN 1991,1289
15,16,6.07,Sergey BUBKA,04 DEC 1963,URS,1,Shizuoka (JPN),06 MAY 1991,1286
16,16,6.07,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Place de l'Europe, Lausanne (SUI)",02 SEP 2020,1286
17,16,6.07,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1286
18,16,6.07,KC LIGHTFOOT,11 NOV 1999,USA,1,"Vanderbilt Track, Nashville, TN (USA)",02 JUN 2023,1286
19,20,6.06,Sergey BUBKA,04 DEC 1963,URS,1,Nice (FRA),10 JUL 1988,1283
20,20,6.06,Sam KENDRICKS,07 SEP 1992,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 JUL 2019,1283
21,20,6.06,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1283
22,20,6.06,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Olympiastadion, München (GER)",20 AUG 2022,1283
23,24,6.05,Sergey BUBKA,04 DEC 1963,URS,1,Bratislava (TCH),09 JUN 1988,1281
24,24,6.05,Sergey BUBKA,04 DEC 1963,UKR,1,London (GBR),10 SEP 1993,1281
25,24,6.05,Sergey BUBKA,04 DEC 1963,UKR,1,"Olympiastadion, Berlin (GER)",30 AUG 1994,1281
26,24,6.05,Sergey BUBKA,04 DEC 1963,UKR,1,Fukuoka (JPN),13 SEP 1997,1281
27,24,6.05,Maxim TARASOV,02 DEC 1970,RUS,1,Athina (GRE),16 JUN 1999,1281
28,24,6.05,Dmitri MARKOV,14 MAR 1975,AUS,1,"Commonwealth Stadium, Edmonton (CAN)",09 AUG 2001,1281
29,24,6.05,Renaud LAVILLENIE,18 SEP 1986,FRA,1,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1281
30,24,6.05,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Olympiastadion, Berlin (GER)",12 AUG 2018,1281
31,24,6.05,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1281
32,33,6.04,Brad WALKER,21 JUN 1981,USA,1,"Eugene, OR (USA)",08 JUN 2008,1278
33,34,6.03,Sergey BUBKA,04 DEC 1963,URS,1,Praha (TCH),23 JUN 1987,1275
34,34,6.03,Okkert BRITS,22 AUG 1973,RSA,1,Köln (GER),18 AUG 1995,1275
35,34,6.03,Jeff HARTWIG,25 SEP 1967,USA,1,"Jonesboro, AR (USA)",14 JUN 2000,1275
36,34,6.03,Renaud LAVILLENIE,18 SEP 1986,FRA,1,"Olympic Stadium, London (GBR)",25 JUL 2015,1275
37,34,6.03,Thiago BRAZ,16 DEC 1993,BRA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016,1275
38,39,6.02,Sergey BUBKA,04 DEC 1963,UKR,1,"Atlanta, GA (USA)",18 MAY 1996,1272
39,39,6.02,Jeff HARTWIG,25 SEP 1967,USA,1,"Eugene, OR (USA)",27 JUN 1999,1272
40,39,6.02,Maxim TARASOV,02 DEC 1970,RUS,1,"La Cartuja, Sevilla (ESP)",26 AUG 1999,1272
