"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,23.56,Ryan CROUSER,18 DEC 1992,USA,1,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1334
1,2,23.37,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1323
2,3,23.3,Ryan CROUSER,18 DEC 1992,USA,1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1318
3,4,23.23,Joe KOVACS,28 JUN 1989,USA,1,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022,1314
4,5,23.15,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1309
5,6,23.12,Randy BARNES,16 JUN 1966,USA,1,"Westwood, CA (USA)",20 MAY 1990,1308
6,6,23.12,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1308
7,8,23.1,Randy BARNES,16 JUN 1966,USA,1,San José (USA),26 MAY 1990,1306
8,9,23.06,Ulf TIMMERMANN,01 NOV 1962,GDR,1,Chania (GRE),22 MAY 1988,1304
9,10,23.02,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1302
10,11,23.01,Ryan CROUSER,18 DEC 1992,USA,1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",22 MAY 2021,1301
11,12,22.94,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,1297
12,13,22.92,Ryan CROUSER,18 DEC 1992,USA,1q1,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1296
13,14,22.91,Alessandro ANDREI,03 JAN 1959,ITA,1,Viareggio (ITA),12 AUG 1987,1295
14,14,22.91,Joe KOVACS,28 JUN 1989,USA,1,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1295
