"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,7:54.10,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stade Charléty, Paris (FRA)",09 JUN 2023,1304
1,2,7:58.61,Daniel KOMEN,17 MAY 1976,KEN,1,Hechtel (BEL),19 JUL 1997,1276
2,3,7:58.91,Daniel KOMEN,17 MAY 1976,KEN,1,Sydney (AUS),28 FEB 1998,1275
3,4,8:01.08,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"FBK Stadium, Hengelo (NED)",31 MAY 1997,1262
4,5,8:01.72,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Crystal Palace, London (GBR)",07 AUG 1999,1258
5,6,8:01.86,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"FBK Stadium, Hengelo (NED)",30 MAY 1999,1257
6,7,8:03.50,Craig MOTTRAM,18 JUN 1980,AUS,1,"Eugene, OR (USA)",10 JUN 2007,1247
7,8,8:03.54,Daniel KOMEN,17 MAY 1976,KEN,1,Lappeenranta (FIN),14 JUL 1996,1247
8,9,8:04.83,Tariku BEKELE,28 FEB 1987,ETH,2,"Eugene, OR (USA)",10 JUN 2007,1239
9,10,8:07.07,Matt TEGENKAMP,19 JAN 1982,USA,3,"Eugene, OR (USA)",10 JUN 2007,1226
10,11,8:07.46,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Kerkrade (NED),28 MAY 1995,1224
11,12,8:07.54,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1223
12,13,8:07.59,Paul CHELIMO,27 OCT 1990,USA,2,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1223
13,14,8:07.68,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Eugene, OR (USA)",04 JUN 2005,1223
14,15,8:07.85,Mo FARAH,23 MAR 1983,GBR,1,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1222
15,16,8:08.69,Selemon BAREGA,20 JAN 2000,ETH,3,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1217
16,17,8:09.01,Moses KIPTANUI,01 OCT 1970,KEN,1,Hechtel (BEL),30 JUL 1994,1215
17,18,8:09.23,Ishmael Rokitto KIPKURUI,10 FEB 2005,KEN,2,"Stade Charléty, Paris (FRA)",09 JUN 2023,1214
18,19,8:09.55,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1212
19,20,8:09.82,Selemon BAREGA,20 JAN 2000,ETH,2,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1210
20,21,8:09.83,Paul CHELIMO,27 OCT 1990,USA,3,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1210
21,22,8:10.16,Jacob KIPLIMO,14 NOV 2000,UGA,4,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1208
22,23,8:10.34,Kuma GIRMA,24 NOV 2005,ETH,3,"Stade Charléty, Paris (FRA)",09 JUN 2023,1207
23,24,8:10.59,Benjamin LIMO,23 AUG 1974,KEN,1,"Eugene, OR (USA)",28 MAY 2006,1206
