"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,41:04,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1.0,Sochi (RUS),20 APR 1996,1228
1,2,41:16,Wang YAN,02 MAY 1971,CHN,1.0,Eisenhüttenstadt (GER),08 MAY 1999,1221
2,2,41:16,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,,Os (NOR),11 MAY 2002,1221
3,4,41:17,Irina STANKINA,25 MAR 1977,RUS,1.0,"Adler, Sochi (RUS)",09 FEB 1997,1220
4,5,41:24,Olimpiada IVANOVA,29 AUG 1970,RUS,2.0,"Adler, Sochi (RUS)",09 FEB 1997,1216
5,6,41:25,Jiayu YANG,18 FEB 1996,CHN,1.0,Wuzhong (CHN),15 DEC 2020,1215
6,7,41:28,Antonella PALMISANO,06 AUG 1991,ITA,1.0,Modena (ITA),18 OCT 2020,1213
7,8,41:29,Larisa RAMAZANOVA-KHMELNITSKAYA,23 SEP 1971,BLR,1.0,Izhevsk (RUS),04 JUN 1995,1213
8,9,41:30,Kerry SAXBY,02 JUN 1961,AUS,1.0,Canberra (AUS),27 AUG 1988,1212
9,9,41:30,Ileana SALVADOR,16 JAN 1962,ITA,1.0,Livorno (ITA),10 JUL 1993,1212
10,9,41:30,Olimpiada IVANOVA,29 AUG 1970,RUS,2.0,Izhevsk (RUS),04 JUN 1995,1212
11,12,41:31,Yelena GRUZINOVA,1967,RUS,2.0,Sochi (RUS),20 APR 1996,1211
12,13,41:38,Rossella GIORDANO,01 DEC 1972,ITA,1.0,Naumburg (GER),25 MAY 1997,1207
13,14,41:41,Yelena NIKOLAYEVA,01 FEB 1966,RUS,2.0,Naumburg (GER),25 MAY 1997,1205
14,14,41:41,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1.0,Kraków (POL),30 MAY 2009,1205
15,16,41:42,Olga KANISKINA,19 JAN 1985,RUS,2.0,Kraków (POL),30 MAY 2009,1205
16,17,41:45,Hongyu LIU,11 JAN 1975,CHN,2.0,Eisenhüttenstadt (GER),08 MAY 1999,1203
17,18,41:46,Annarita SIDOTI,25 JUL 1969,ITA,1.0,Livorno (ITA),12 JUN 1994,1202
18,19,41:47,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1.0,Eisenhüttenstadt (GER),11 MAY 1996,1201
19,20,41:48,Chunxiu LI,13 AUG 1969,CHN,1.0,Beijing (CHN),08 SEP 1993,1201
20,21,41:49,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1.0,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,1200
