"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,3:49.11,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1295
1,2,3:50.07,Genzebe DIBABA,08 FEB 1991,ETH,1,"Stade Louis II, Monaco (MON)",17 JUL 2015,1287
2,3,3:50.37,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,1284
3,4,3:50.46,Yunxia QU,25 DEC 1972,CHN,1,Beijing (CHN),11 SEP 1993,1283
4,5,3:50.98,Jiang BO,13 MAR 1977,CHN,1,Shanghai (CHN),18 OCT 1997,1279
5,6,3:51.07,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Louis II, Monaco (MON)",09 JUL 2021,1278
6,7,3:51.34,Yinglai LANG,22 AUG 1979,CHN,2,Shanghai (CHN),18 OCT 1997,1276
7,8,3:51.92,Junxia WANG,09 JAN 1973,CHN,2,Beijing (CHN),11 SEP 1993,1271
8,9,3:51.95,Sifan HASSAN,01 JAN 1993,NED,1,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1271
9,10,3:52.47,Tatyana KAZANKINA,17 DEC 1951,URS,1,Zürich (SUI),13 AUG 1980,1267
10,11,3:52.59,Faith KIPYEGON,10 JAN 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1266
11,12,3:52.96,Faith KIPYEGON,10 JAN 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1263
12,13,3:53.11,Faith KIPYEGON,10 JAN 1994,KEN,1,"National Stadium, Tokyo (JPN)",06 AUG 2021,1262
13,14,3:53.23,Faith KIPYEGON,10 JAN 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1261
14,15,3:53.60,Sifan HASSAN,01 JAN 1993,NED,2,"Stade Louis II, Monaco (MON)",09 JUL 2021,1258
15,16,3:53.63,Sifan HASSAN,01 JAN 1993,NED,1,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1257
16,17,3:53.91,Lili YIN,11 NOV 1979,CHN,3,Shanghai (CHN),18 OCT 1997,1255
17,17,3:53.91,Faith KIPYEGON,10 JAN 1994,KEN,2,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1255
18,19,3:53.96,Paula IVAN,20 JUL 1963,ROU,1,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1255
19,20,3:53.97,Lixin LAN,14 FEB 1979,CHN,4,Shanghai (CHN),18 OCT 1997,1254
20,21,3:54.01,Gudaf TSEGAY,23 JUN 1997,ETH,1,"Stadion Śląski, Chorzów (POL)",20 JUN 2021,1254
21,22,3:54.03,Gudaf TSEGAY,23 JUN 1997,ETH,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1254
22,23,3:54.11,Genzebe DIBABA,08 FEB 1991,ETH,1,Barcelona (ESP),08 JUL 2015,1253
23,24,3:54.21,Gudaf TSEGAY,23 JUN 1997,ETH,2,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1253
24,25,3:54.22,Faith KIPYEGON,10 JAN 1994,KEN,2,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1252
