"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,1:26:52.3h,Olimpiada IVANOVA,29 AUG 1970,RUS,1,Brisbane (AUS),06 SEP 2001,1193
1,2,1:27:49.3h,Yelena NIKOLAYEVA,01 FEB 1966,RUS,2,Brisbane (AUS),06 SEP 2001,1176
2,3,1:29:32.4h,Hongjuan SONG,04 JUL 1984,CHN,1,Changsha (CHN),23 OCT 2003,1145
3,4,1:29:36.4h,Susana FEITOR,28 JAN 1975,POR,1,Lisboa (POR),21 JUL 2001,1144
4,5,1:30:48.3h,Rossella GIORDANO,01 DEC 1972,ITA,1,Almada (POR),04 AUG 2000,1123
5,6,1:30:52.0h,Karla JARAMILLO,21 JAN 1997,ECU,1,Lima (PER),25 MAY 2019,1122
6,7,1:31:02.25,Lorena ARENAS,17 SEP 1993,COL,1,Lima (PER),13 JUN 2015,1119
7,8,1:31:16.18,Hong LIU,12 MAY 1987,CHN,1,Wuhan (CHN),01 NOV 2007,1115
8,9,1:31:18.79,Xiaoling SONG,21 DEC 1987,CHN,2,Wuhan (CHN),01 NOV 2007,1114
9,10,1:31:25.49,Mary Luz ANDIA,09 NOV 2000,PER,1,"Estadio Atlético de la VIDENA, Lima (PER)",16 JUN 2023,1112
10,11,1:31:46.9h,Lorena ARENAS,17 SEP 1993,COL,1,Santiago de Chile (CHI),13 MAR 2014,1106
11,12,1:31:47.95,Yanmin BAI,29 JUN 1987,CHN,3,Wuhan (CHN),01 NOV 2007,1106
12,13,1:31:52.30,Shanshan WANG,16 JUN 1987,CHN,4,Wuhan (CHN),01 NOV 2007,1105
13,14,1:31:53.72,Mirna ORTÍZ,28 FEB 1987,GUA,1,Ciudad de Guatemala (GUA),08 AUG 2014,1104
14,15,1:32:01.67,Glenda MOREJÓN,30 MAY 2000,ECU,1,Guayaquil (ECU),17 OCT 2021,1102
15,16,1:32:09.4h,Ingrid HERNANDEZ,29 NOV 1988,COL,1,Buenos Aires (ARG),05 JUN 2011,1100
16,17,1:32:12.42,Leyde GUERRA,27 SEP 1998,PER,1,Cuenca (ECU),29 SEP 2018,1099
17,18,1:32:17.6h,Milángela Francesca ROSALES,21 FEB 1987,VEN,2,Buenos Aires (ARG),05 JUN 2011,1097
18,19,1:32:19.71,Jingjing NIE,01 MAR 1988,CHN,5,Wuhan (CHN),01 NOV 2007,1097
19,20,1:32:22.4h,Eva PÉREZ,18 JUL 1975,ESP,3,Brisbane (AUS),06 SEP 2001,1096
20,21,1:32:26.0h,Paola PÉREZ,21 DEC 1989,ECU,1,Asunción (PAR),24 JUN 2017,1095
21,22,1:32:30.36,Limin SUN,06 FEB 1987,CHN,6,Wuhan (CHN),01 NOV 2007,1094
22,23,1:32:31.7h,Lorena ARENAS,17 SEP 1993,COL,1,Medellín (COL),06 OCT 2013,1093
23,24,1:32:35.2h,Angela Melania CASTRO CHIRIVECHZ,21 FEB 1993,BOL,2,Asunción (PAR),24 JUN 2017,1092
24,25,1:32:36.0h,Angela Melania CASTRO CHIRIVECHZ,21 FEB 1993,BOL,2,Lima (PER),25 MAY 2019,1092
25,26,1:32:45.7h,Olga POLYAKOVA,23 SEP 1980,RUS,1,Moskva (RUS),27 JUL 2001,1089
26,27,1:32:48.7h,Anabelly ORJUELA,24 JUL 1988,COL,3,Buenos Aires (ARG),05 JUN 2011,1089
27,28,1:33:18.0h,Yadira GUAMÁN,09 JUN 1986,ECU,4,Buenos Aires (ARG),05 JUN 2011,1080
28,29,1:33:20.04,Maritza Rafaela PONCIO,23 DEC 1994,GUA,2,Ciudad de Guatemala (GUA),08 AUG 2014,1080
29,30,1:33:20.2h,Larisa YEMELYANOVA,06 JAN 1980,RUS,1,Izhevsk (RUS),17 SEP 2005,1080
30,31,1:33:25.5h,Valentina TSYBULSKAYA,19 FEB 1968,BLR,4,Brisbane (AUS),06 SEP 2001,1078
31,32,1:33:27.22,Yelena GINKO,30 JUL 1976,BLR,1,Brest (BLR),08 JUL 2006,1078
32,33,1:33:28.15,Teresa VAILL,20 NOV 1962,USA,1,"Carson, CA (USA)",25 JUN 2005,1077
33,34,1:33:29.9h,Yekaterina YEZHOVA,03 JUL 1982,RUS,2,Izhevsk (RUS),17 SEP 2005,1077
34,35,1:33:37.13,Viviane LYRA,29 JUL 1993,BRA,1,Rio de Janeiro (BRA),22 JUN 2022,1075
35,36,1:33:38.3h,Marina SMYSLOVA,05 JUN 1966,RUS,3,Izhevsk (RUS),17 SEP 2005,1074
36,37,1:33:40.0h,Leyde GUERRA,27 SEP 1998,PER,3,Lima (PER),25 MAY 2019,1074
37,38,1:33:40.2h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,5,Brisbane (AUS),06 SEP 2001,1074
38,39,1:33:42.1h,Cheryl WEBB,03 OCT 1976,AUS,1,Melbourne (AUS),04 AUG 2002,1073
39,40,1:33:44.3h,Olga POVALYAYEVA,19 OCT 1984,RUS,1,Khanty-Mansiysk (RUS),28 JUL 2006,1073
40,41,1:33:51.2h,Lorena ARENAS,17 SEP 1993,COL,1,Medellín (COL),11 JUN 2017,1071
41,42,1:33:52.90,Meryem BEKMEZ,31 JUL 2000,TUR,1,"Nevin Yanıt Atletizm Pisti, Mersin (TUR)",26 APR 2022,1070
42,43,1:33:54.16,Glenda MOREJÓN,30 MAY 2000,ECU,1,"Pascual Guerrero Stadium, Cali (COL)",03 DEC 2021,1070
43,44,1:33:58.1h,Sofia AVOILA,30 JUL 1976,POR,2,Lisboa (POR),21 JUL 2001,1069
44,45,1:34:04.4h,Sandra Viviana GALVIS,28 JUN 1986,COL,2,Santiago de Chile (CHI),13 MAR 2014,1067
45,46,1:34:11.95,Snezhana YURCHENKO,01 AUG 1984,BLR,2,Brest (BLR),08 JUL 2006,1065
46,47,1:34:12.31,Xue CHAI,21 JAN 1988,CHN,7,Wuhan (CHN),01 NOV 2007,1065
47,48,1:34:17.0h,Olga SURANOVA,07 DEC 1986,RUS,2,Khanty-Mansiysk (RUS),28 JUL 2006,1063
48,49,1:34:21.56,Xue Hui WANG,14 FEB 1990,CHN,8,Wuhan (CHN),01 NOV 2007,1062
49,50,1:34:30.0h,Evelyn INGA,16 APR 1998,PER,4,Lima (PER),25 MAY 2019,1060
50,51,1:34:31.06,Michelle ROHL,12 NOV 1965,USA,1,"Palo Alto, CA (USA)",21 JUN 2003,1060
51,52,1:34:38.15,Tatyana METLEVSKAYA,14 SEP 1984,BLR,3,Brest (BLR),08 JUL 2006,1058
52,53,1:34:39.71,Jie HAN,31 DEC 1987,CHN,9,Wuhan (CHN),01 NOV 2007,1057
53,54,1:34:46.52,Joanne DOW,19 MAR 1964,USA,1,"Palo Alto, CA (USA)",21 JUN 2002,1055
54,55,1:34:46.6h,Vera SANTOS,03 DEC 1981,POR,3,Lisboa (POR),13 JUL 2002,1055
55,56,1:34:50.9h,Irina PUDOVKINA,11 FEB 1980,RUS,4,Izhevsk (RUS),17 SEP 2005,1054
56,57,1:34:52.0h,Paula Milena TORRES,17 OCT 2000,ECU,1,Cascavel (BRA),30 SEP 2022,1054
57,58,1:34:53.33,Maria MICHTA-COFFEY,23 JUN 1986,USA,1,"Hayward Field, Eugene, OR (USA)",01 JUL 2012,1053
58,59,1:34:56.7h,Rosario SANCHEZ,26 OCT 1973,MEX,1,Xalapa (MEX),16 JUL 2000,1052
59,60,1:34:56.92,Miranda MELVILLE,20 MAR 1989,USA,2,"Hayward Field, Eugene, OR (USA)",01 JUL 2012,1052
60,61,1:34:57.79,Joanne DOW,19 MAR 1964,USA,2,"Palo Alto, CA (USA)",21 JUN 2003,1052
