"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,8:44.32,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Stade Louis II, Monaco (MON)",20 JUL 2018,1285
1,2,8:52.78,Ruth JEBET,17 NOV 1996,BRN,1,Paris (FRA),27 AUG 2016,1263
2,3,8:53.02,Norah JERUTO,02 OCT 1995,KAZ,1,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1262
3,4,8:53.65,Norah JERUTO,02 OCT 1995,KEN,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1261
4,5,8:54.61,Werkuha GETACHEW,07 DEC 1995,ETH,2,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1258
5,6,8:55.10,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1257
6,7,8:55.29,Ruth JEBET,17 NOV 1996,BRN,1,"Letzigrund, Zürich (SUI)",24 AUG 2017,1256
7,8,8:55.58,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1256
8,9,8:56.08,Mekides ABEBE,29 JAN 2001,ETH,3,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1254
9,10,8:56.55,Winfred Mutile YAVI,31 DEC 1999,BRN,1,"Stade Charléty, Paris (FRA)",18 JUN 2022,1253
10,11,8:57.77,Courtney FRERICHS,18 JAN 1993,USA,2,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1250
11,12,8:57.84,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1250
12,13,8:57.97,Norah JERUTO,02 OCT 1995,KAZ,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1250
13,14,8:58.71,Winfred Mutile YAVI,31 DEC 1999,BRN,2,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1248
14,15,8:58.78,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,1,"Hayward Field, Eugene, OR (USA)",26 MAY 2017,1247
15,16,8:58.81,Gulnara SAMITOVA-GALKINA,09 JUL 1978,RUS,1,"National Stadium, Beijing (CHN)",17 AUG 2008,1247
16,17,8:59.36,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Stade Charléty, Paris (FRA)",30 JUN 2018,1246
17,18,8:59.62,Norah JERUTO,02 OCT 1995,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1245
18,19,8:59.75,Ruth JEBET,17 NOV 1996,BRN,1,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016,1245
19,20,8:59.84,Beatrice CHEPKOECH,06 JUL 1991,KEN,2,"Letzigrund, Zürich (SUI)",24 AUG 2017,1245
20,21,8:59.97,Ruth JEBET,17 NOV 1996,BRN,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1244
21,22,9:00.01,Hyvin KIYENG,13 JAN 1992,KEN,2,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1244
22,23,9:00.05,Hyvin KIYENG,13 JAN 1992,KEN,3,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1244
23,24,9:00.12,Hyvin KIYENG,13 JAN 1992,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1244
24,25,9:00.67,Norah JERUTO,02 OCT 1995,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1243
25,26,9:00.70,Beatrice CHEPKOECH,06 JUL 1991,KEN,2,"Hayward Field, Eugene, OR (USA)",26 MAY 2017,1243
26,27,9:00.71,Sembo ALMAYEW,24 JAN 2005,ETH,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1242
27,28,9:00.85,Courtney FRERICHS,18 JAN 1993,USA,2,"Stade Louis II, Monaco (MON)",20 JUL 2018,1242
28,29,9:01.31,Winfred Mutile YAVI,31 DEC 1999,BRN,4,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1241
29,30,9:01.45,Peruth CHEMUTAI,10 JUL 1999,UGA,1,"National Stadium, Tokyo (JPN)",04 AUG 2021,1241
30,31,9:01.54,Norah JERUTO,02 OCT 1995,KAZ,1h1,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1240
31,32,9:01.57,Beatrice CHEPKOECH,06 JUL 1991,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1240
32,33,9:01.59,Gulnara SAMITOVA,09 JUL 1978,RUS,1,Herakleion (GRE),04 JUL 2004,1240
33,34,9:01.60,Hyvin KIYENG,13 JAN 1992,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1240
34,35,9:01.69,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Stade Charléty, Paris (FRA)",01 JUL 2017,1240
35,36,9:01.71,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,"Letzigrund, Zürich (SUI)",29 AUG 2019,1240
36,37,9:01.82,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,2,"Stade Charléty, Paris (FRA)",30 JUN 2018,1240
37,38,9:01.96,Hyvin KIYENG,13 JAN 1992,KEN,2,Paris (FRA),27 AUG 2016,1239
38,39,9:01.99,Ruth JEBET,17 NOV 1996,BRN,3,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1239
39,40,9:02.35,Emma COBURN,19 OCT 1990,USA,2,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1238
40,41,9:02.43,Jackline CHEPKOECH,03 OCT 2003,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1238
41,42,9:02.52,Mekides ABEBE,29 JAN 2001,ETH,2,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1238
42,43,9:02.58,Emma COBURN,19 OCT 1990,USA,1,"Olympic Stadium, London (GBR)",11 AUG 2017,1238
43,44,9:02.64,Winfred Mutile YAVI,31 DEC 1999,BRN,3,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1238
44,45,9:03.26,Mekides ABEBE,29 JAN 2001,ETH,3,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1236
45,46,9:03.30,Gesa Felicitas KRAUSE,03 AUG 1992,GER,3,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1236
46,47,9:03.44,Werkuha GETACHEW,07 DEC 1995,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1235
