"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,14:19,Ejgayehu TAYE,10 FEB 2000,ETH,1,Barcelona (ESP),31 DEC 2021,1244
1,2,14:21,Ejgayehu TAYE,10 FEB 2000,ETH,1,Barcelona (ESP),31 DEC 2022,1240
2,3,14:29,Francine NIYONSABA,05 MAY 1993,BDI,1,"Sechseläutenplatz, Zürich (SUI)",08 SEP 2021,1224
3,4,14:29,Senbere TEFERI,03 MAY 1995,ETH,1,Herzogenaurach (GER),12 SEP 2021,1224
4,5,14:30,Hellen OBIRI,13 DEC 1989,KEN,2,"Sechseläutenplatz, Zürich (SUI)",08 SEP 2021,1223
5,6,14:31,Ejgayehu TAYE,10 FEB 2000,ETH,3,"Sechseläutenplatz, Zürich (SUI)",08 SEP 2021,1221
6,7,14:32,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,4,"Sechseläutenplatz, Zürich (SUI)",08 SEP 2021,1220
7,8,14:32,Joyciline JEPKOSGEI,08 DEC 1993,KEN,,Praha (CZE),09 SEP 2017,1218
8,8,14:32,Beatrice CHEBET,05 MAR 2000,KEN,1,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022,1218
9,8,14:32,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,2,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022,1218
10,11,14:33,Gudaf TSEGAY,23 JUN 1997,ETH,3,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022,1216
11,11,14:33,Ejgayehu TAYE,10 FEB 2000,ETH,4,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022,1216
12,13,14:35,Caroline NYAGA,07 OCT 1993,KEN,1,Lille (FRA),19 MAR 2023,1212
13,13,14:35,Mekides ABEBE,29 JAN 2001,ETH,2,Lille (FRA),19 MAR 2023,1212
14,15,14:37,Eva CHERONO,15 AUG 1996,KEN,5,"Sechseläutenplatz, Zürich (SUI)",08 SEP 2021,1208
15,16,14:37,Senbere TEFERI,03 MAY 1995,ETH,1,Herzogenaurach (GER),30 APR 2022,1208
16,17,14:38,Sifan HASSAN,01 JAN 1993,NED,5,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022,1206
17,17,14:38,Alicia MONSON,13 MAY 1998,USA,6,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022,1206
18,19,14:39,Dawit SEYAUM,27 JUL 1996,ETH,1,Lille (FRA),06 NOV 2021,1204
19,20,14:40,Doris Lengole CHEROP,05 FEB 2002,KEN,3,Lille (FRA),19 MAR 2023,1202
20,21,14:41,Elizabeth POTTER,27 DEC 1991,GBR,1f6,Barrowford (GBR),03 APR 2021,1200
21,22,14:42,Norah JERUTO,02 OCT 1995,KEN,2,Lille (FRA),06 NOV 2021,1198
22,23,14:43,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,Monaco (MON),14 FEB 2021,1196
23,24,14:44,Fantu WORKU,29 MAR 1999,ETH,6,"Sechseläutenplatz, Zürich (SUI)",08 SEP 2021,1195
24,25,14:44,Sifan HASSAN,01 JAN 1993,NED,1,Monaco (MON),17 FEB 2019,1194
25,26,14:45,Eilish MCCOLGAN,25 NOV 1990,GBR,1,Málaga (ESP),24 APR 2022,1192
26,27,14:46,Meseret DEFAR,19 NOV 1983,ETH,1,"Carlsbad, CA (USA)",09 APR 2006,1190
27,27,14:46,Violah JEPCHUMBA,23 OCT 1990,BRN,,Praha (CZE),10 SEP 2016,1190
28,27,14:46,Medina EISA,03 JAN 2005,ETH,1,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023,1190
