"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,72.28,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",13 SEP 2008,1306
1,2,71.7,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1295
2,3,71.58,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"DS, Daegu (KOR)",02 SEP 2011,1293
3,4,71.54,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,Rethymno (GRE),01 JUL 2001,1292
4,5,71.53,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1292
5,6,71.42,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"National Stadium, Beijing (CHN)",21 AUG 2008,1290
6,7,71.4,Maria ANDREJCZYK,09 MAR 1996,POL,1f1,"Stadion Park Mladeži, Split (CRO)",09 MAY 2021,1290
7,8,70.53,Mariya ABAKUMOVA,15 JAN 1986,RUS,1,"Olympiastadion, Berlin (GER)",01 SEP 2013,1274
8,9,70.2,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Olympiastadion, München (GER)",23 JUN 2007,1267
9,10,70.03,Christina OBERGFÖLL,22 AUG 1981,GER,2,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1264
10,11,69.82,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,Beijing (CHN),29 AUG 2001,1260
11,12,69.81,Christina OBERGFÖLL,22 AUG 1981,GER,1,Elstal (GER),31 AUG 2008,1260
12,13,69.75,Mariya ABAKUMOVA,15 JAN 1986,RUS,1,Elstal (GER),25 AUG 2013,1259
13,14,69.57,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Letzigrund, Zürich (SUI)",08 SEP 2011,1256
14,15,69.55,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Olympic Stadium, London (GBR)",09 AUG 2012,1255
15,16,69.53,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,"Commonwealth Stadium, Edmonton (CAN)",06 AUG 2001,1255
16,17,69.48,Trine HATTESTAD,18 APR 1966,NOR,1,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1254
17,18,69.45,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Stade Louis II, Monaco (MON)",22 JUL 2011,1253
18,19,69.35,Sunette VILJOEN,06 OCT 1983,RSA,1,"Icahn Stadium, New York, NY (USA)",09 JUN 2012,1252
19,20,69.34,Mariya ABAKUMOVA,15 JAN 1986,RUS,1f1,Castellón (ESP),16 MAR 2013,1251
20,21,69.19,Christin HUSSONG,17 MAR 1994,GER,1,"Stadion Śląski, Chorzów (POL)",30 MAY 2021,1249
21,22,69.15,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,Zaragoza (ESP),31 MAY 2008,1248
22,23,69.09,Mariya ABAKUMOVA,15 JAN 1986,RUS,1q1,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1247
23,24,69.05,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1246
24,25,68.94,Mariya ABAKUMOVA,15 JAN 1986,RUS,1,"Letzigrund, Zürich (SUI)",29 AUG 2013,1244
25,26,68.92,Kathryn MITCHELL,10 JUL 1982,AUS,1,Gold Coast (AUS),11 APR 2018,1244
26,27,68.91,Trine HATTESTAD,18 APR 1966,NOR,1,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1243
27,28,68.86,Christina OBERGFÖLL,22 AUG 1981,GER,1,Kassel (GER),24 JUL 2011,1242
28,29,68.81,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Stadion Juliska, Praha (CZE)",16 JUN 2008,1242
29,30,68.76,Christina OBERGFÖLL,22 AUG 1981,GER,1q1,"DS, Daegu (KOR)",01 SEP 2011,1241
30,31,68.73,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,2,"Icahn Stadium, New York, NY (USA)",09 JUN 2012,1240
31,32,68.66,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Stadio Olimpico, Roma (ITA)",10 JUN 2010,1239
32,33,68.65,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Stadio Olimpico, Roma (ITA)",31 MAY 2012,1239
33,34,68.63,Christina OBERGFÖLL,22 AUG 1981,GER,1,Elstal (GER),12 SEP 2010,1238
34,35,68.59,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",20 JUN 2009,1237
35,35,68.59,Mariya ABAKUMOVA,15 JAN 1986,RUS,1,"Olympiastadion, Stockholm (SWE)",22 AUG 2013,1237
36,37,68.57,Kathryn MITCHELL,10 JUL 1982,AUS,1,Melbourne (AUS),03 MAR 2018,1237
37,38,68.47,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,Helsinki (FIN),24 JUL 2005,1235
