"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,7.52,1.4,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Leningrad (URS),11 JUN 1988,1333
1,2,7.49,1.3,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"New York, NY (USA)",22 MAY 1994,1327
2,2,7.49,1.7,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,Sestriere (ITA),31 JUL 1994,1327
3,4,7.48,1.2,Heike DRECHSLER,16 DEC 1964,GDR,1,Neubrandenburg (GDR),09 JUL 1988,1324
4,4,7.48,0.4,Heike DRECHSLER,16 DEC 1964,GER,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 1992,1324
5,6,7.45,0.9,Heike DRECHSLER,16 DEC 1964,GDR,1,Tallinn (EST),21 JUN 1986,1318
6,6,7.45,1.1,Heike DRECHSLER,16 DEC 1964,GDR,1,Dresden (GER),03 JUL 1986,1318
7,6,7.45,0.6,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Indianapolis, IN (USA)",13 AUG 1987,1318
8,6,7.45,1.0,Galina CHISTYAKOVA,26 JUL 1962,URS,,Leningrad (URS),11 JUN 1988,1318
9,6,7.45,1.6,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Budapest (HUN),12 AUG 1988,1318
10,11,7.44,2.0,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GDR),22 SEP 1985,1316
11,12,7.43,1.4,Anișoara CUȘMIR,28 JUN 1962,ROU,1,Bucureşti (ROU),04 JUN 1983,1313
12,13,7.42,2.0,Tatyana KOTOVA,11 DEC 1976,RUS,1,"Parc des Sports, Annecy (FRA)",23 JUN 2002,1311
13,14,7.4,1.8,Heike DRECHSLER,16 DEC 1964,GDR,1,Dresden (GER),26 JUL 1984,1307
14,14,7.4,0.7,Heike DRECHSLER,16 DEC 1964,GDR,1,Potsdam (GDR),21 AUG 1987,1307
15,14,7.4,0.9,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1307
16,17,7.39,0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,"Letzigrund, Zürich (SUI)",21 AUG 1985,1304
17,17,7.39,0.5,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Bryansk (URS),18 JUL 1987,1304
18,17,7.39,,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"San Diego, CA (USA)",25 JUN 1988,1304
19,20,7.37,1.8,Heike DRECHSLER,16 DEC 1964,GER,1,Sestriere (ITA),31 JUL 1991,1300
20,20,7.37,,Inessa KRAVETS,05 OCT 1966,UKR,1,Kyiv (UKR),13 JUN 1992,1300
21,22,7.36,0.4,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Stadio Olimpico, Roma (ITA)",04 SEP 1987,1298
22,22,7.36,1.8,Yelena BELEVSKAYA,11 OCT 1963,URS,2,Leningrad (URS),11 JUN 1988,1298
23,22,7.36,1.8,Heike DRECHSLER,16 DEC 1964,GER,1,Jena (GER),28 MAY 1992,1298
24,25,7.35,1.9,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Bratislava (TCH),20 JUN 1990,1295
25,26,7.34,1.6,Heike DAUTE,16 DEC 1964,GDR,1,Dresden (GER),19 MAY 1984,1293
26,26,7.34,1.4,Galina CHISTYAKOVA,26 JUL 1962,URS,2,Tallinn (EST),21 JUN 1986,1293
27,26,7.34,,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Sukhumi (URS),17 MAY 1987,1293
28,26,7.34,0.7,Heike DRECHSLER,16 DEC 1964,GDR,1f1,Karl Marx Stadt (GDR),20 JUN 1987,1293
29,30,7.33,0.4,Heike DRECHSLER,16 DEC 1964,GDR,1,Erfurt (GER),22 JUN 1985,1291
30,30,7.33,2.0,Heike DRECHSLER,16 DEC 1964,GDR,1,Dresden (GER),02 AUG 1985,1291
31,30,7.33,-0.3,Heike DRECHSLER,16 DEC 1964,GER,1,"Stade Louis II, Monaco (MON)",11 AUG 1992,1292
32,30,7.33,0.4,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Tula (RUS),31 JUL 2004,1291
33,34,7.32,-0.2,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GDR),20 JUL 1984,1290
34,34,7.32,0.0,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"National Stadium, Tokyo (JPN)",25 AUG 1991,1289
35,36,7.31,1.5,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,Almaty (KAZ),12 SEP 1985,1287
36,36,7.31,1.3,Heike DRECHSLER,16 DEC 1964,GDR,1,Jena (GDR),31 MAY 1986,1287
37,36,7.31,-0.2,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Kiev (URS),15 JUL 1986,1288
38,36,7.31,1.1,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Moskva (URS),16 AUG 1987,1287
39,36,7.31,1.9,Marion JONES,12 OCT 1975,USA,1,"Eugene, OR (USA)",31 MAY 1998,1287
40,36,7.31,-0.1,Marion JONES,12 OCT 1975,USA,1,Zürich (SUI),12 AUG 1998,1287
41,36,7.31,1.7,Brittney REESE,09 SEP 1986,USA,1,"Hayward Field, Eugene, OR (USA)",02 JUL 2016,1287
42,43,7.3,0.6,Heike DRECHSLER,16 DEC 1964,GDR,1,"Poljud Stadion, Split (CRO)",28 AUG 1990,1284
43,43,7.3,-0.2,Heike DRECHSLER,16 DEC 1964,GER,1,Dillingen (GER),17 MAY 1992,1285
44,43,7.3,0.7,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,San José (USA),28 MAY 1994,1284
45,43,7.3,-0.8,Malaika MIHAMBO,03 FEB 1994,GER,1,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1288
46,47,7.29,0.0,Heike DAUTE,16 DEC 1964,GDR,1,Jena (GDR),13 MAY 1984,1282
47,47,7.29,0.5,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Moskva (URS),06 AUG 1984,1282
48,47,7.29,1.8,Heike DRECHSLER,16 DEC 1964,GDR,1,Neubrandenburg (GDR),07 JUN 1985,1282
49,47,7.29,0.9,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Sochi (URS),01 JUN 1988,1282
50,47,7.29,0.0,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,Almaty (KAZ),03 JUL 1988,1282
51,47,7.29,-0.2,Heike DRECHSLER,16 DEC 1964,GER,2,"National Stadium, Tokyo (JPN)",25 AUG 1991,1283
52,47,7.29,0.9,Heike DRECHSLER,16 DEC 1964,GER,2,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1282
53,54,7.28,0.9,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Moskva (URS),18 AUG 1985,1280
54,55,7.27,0.6,Anișoara CUȘMIR,28 JUN 1962,ROU,,Bucureşti (ROU),04 JUN 1983,1278
55,55,7.27,1.0,Anișoara CUȘMIR-STANCIU,28 JUN 1962,ROU,1,Sofia (BUL),17 JUN 1984,1278
56,55,7.27,1.3,Galina CHISTYAKOVA,26 JUL 1962,URS,2,Erfurt (GER),22 JUN 1985,1278
57,55,7.27,0.7,Heike DRECHSLER,16 DEC 1964,GDR,1,"Bruce Stadium, Canberra (AUS)",06 OCT 1985,1278
58,55,7.27,0.8,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Moskva (URS),07 JUL 1986,1278
59,55,7.27,0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,"Neckarstadion, Stuttgart (GER)",27 AUG 1986,1278
60,55,7.27,1.3,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Moskva (URS),22 AUG 1987,1278
61,55,7.27,,Inessa KRAVETS,05 OCT 1966,URS,1,Kiev (URS),22 MAY 1988,1278
62,55,7.27,0.7,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1ce,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1278
63,55,7.27,-0.4,Irina MELESHINA,25 MAY 1982,RUS,2,Tula (RUS),31 JUL 2004,1280
64,65,7.26,0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,Praha (TCH),28 JUN 1987,1275
65,65,7.26,1.8,Maurren Higa MAGGI,25 JUN 1976,BRA,1,Bogotá (COL),25 JUN 1999,1275
66,67,7.25,2.0,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Moskva (URS),07 JUN 1987,1273
67,67,7.25,1.7,Heike DRECHSLER,16 DEC 1964,GER,1,Bruxelles (BEL),13 SEP 1991,1273
68,67,7.25,1.6,Brittney REESE,09 SEP 1986,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013,1273
69,70,7.24,-0.1,Jackie JOYNER,03 MAR 1962,USA,2,"Letzigrund, Zürich (SUI)",21 AUG 1985,1271
70,70,7.24,1.0,Larisa BEREZHNAYA,28 FEB 1961,URS,1,Granada (ESP),25 MAY 1991,1271
71,70,7.24,1.4,Heike DRECHSLER,16 DEC 1964,GER,1,Sevilla (ESP),30 MAY 1991,1271
72,73,7.23,0.6,Heike DRECHSLER,16 DEC 1964,GDR,2,Moskva (URS),18 AUG 1985,1269
73,73,7.23,0.2,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GDR),20 AUG 1986,1269
74,73,7.23,-0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,Bruxelles (BEL),05 SEP 1986,1270
75,73,7.23,2.0,Inessa KRAVETS,05 OCT 1966,URS,1,Tallinn (EST),06 JUL 1988,1269
76,73,7.23,1.9,Heike DRECHSLER,16 DEC 1964,GER,1,Alcobendas (ESP),07 JUN 1991,1269
77,73,7.23,0.2,Heike DRECHSLER,16 DEC 1964,GER,1,Jena (GER),03 JUN 1994,1269
78,73,7.23,-0.3,Marion JONES,12 OCT 1975,USA,1,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1270
79,80,7.22,1.5,Jackie JOYNER-KERSEE,03 MAR 1962,USA,q,"Indianapolis, IN (USA)",22 JUL 1988,1267
80,80,7.22,0.5,Heike DRECHSLER,16 DEC 1964,GDR,2,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1267
81,80,7.22,0.0,Inessa KRAVETS,05 OCT 1966,UKR,1,Zürich (SUI),19 AUG 1992,1267
82,83,7.21,0.6,Anișoara CUȘMIR,28 JUN 1962,ROU,1,Bucureşti (ROU),15 MAY 1983,1264
83,83,7.21,1.6,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Moskva (URS),14 JUL 1984,1264
84,83,7.21,1.6,Helga RADTKE,16 MAY 1962,GDR,2,Dresden (GER),26 JUL 1984,1264
85,83,7.21,0.8,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GER),08 JUL 1987,1264
86,83,7.21,,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Sukhumi (URS),16 MAY 1988,1264
87,83,7.21,2.0,Yelena BELEVSKAYA,11 OCT 1963,URS,2,Sochi (URS),01 JUN 1988,1264
88,83,7.21,0.1,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Vladivostok (URS),14 SEP 1988,1264
89,83,7.21,1.8,Heike DRECHSLER,16 DEC 1964,GER,1,München (GER),21 JUN 1992,1264
90,83,7.21,-0.4,Heike DRECHSLER,16 DEC 1964,GER,1,Zürich (SUI),04 AUG 1993,1266
91,83,7.21,0.7,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,Paris (FRA),03 SEP 1994,1264
92,83,7.21,1.9,Lyudmila KOLCHANOVA,01 OCT 1979,RUS,1,Sochi (RUS),27 MAY 2007,1264
93,94,7.2,-0.3,Valy IONESCU,31 AUG 1960,ROU,1,Bucureşti (ROU),01 AUG 1982,1263
94,94,7.2,0.2,Galina CHISTYAKOVA,26 JUL 1962,URS,3,"Letzigrund, Zürich (SUI)",21 AUG 1985,1262
95,94,7.2,2.0,Irena OZHENKO,13 NOV 1962,URS,1,Budapest (HUN),12 SEP 1986,1262
96,94,7.2,0.8,Heike DRECHSLER,16 DEC 1964,GDR,1,Rostock (GER),25 JUN 1988,1262
97,94,7.2,0.8,Yelena SINCHUKOVA,23 JAN 1961,URS,1,Budapest (HUN),20 JUN 1991,1262
98,94,7.2,1.3,Heike DRECHSLER,16 DEC 1964,GER,1,Rhede (GER),12 JUL 1992,1262
99,94,7.2,0.7,Irina MUSHAYILOVA,06 JAN 1967,RUS,1,St. Petersburg (RUS),14 JUL 1994,1262
0,94,7.2,1.0,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Atlanta, GA (USA)",18 MAY 1996,1262
1,102,7.19,-0.1,Helga RADTKE,16 MAY 1962,GDR,4,"Letzigrund, Zürich (SUI)",21 AUG 1985,1260
2,102,7.19,1.5,Helga RADTKE,16 MAY 1962,GDR,2,Berlin (GDR),22 SEP 1985,1260
3,102,7.19,1.3,Larisa BEREZHNAYA,28 FEB 1961,URS,1,Krasnodar (URS),22 JUN 1986,1260
4,102,7.19,-0.6,Heike DRECHSLER,16 DEC 1964,GDR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1263
5,102,7.19,0.2,Heike DRECHSLER,16 DEC 1964,GER,1,Rieti (ITA),06 SEP 1991,1260
6,102,7.19,1.8,Brittney REESE,09 SEP 1986,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2011,1260
7,108,7.18,0.0,Heike DAUTE,16 DEC 1964,GDR,1,Potsdam (GDR),25 MAY 1984,1258
8,108,7.18,0.3,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GER),15 JUL 1984,1258
9,108,7.18,0.6,Heike DRECHSLER,16 DEC 1964,GDR,1,Jena (GDR),03 JUN 1988,1258
10,108,7.18,0.4,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Praha (TCH),16 JUN 1988,1258
11,112,7.17,1.3,Yelena BELEVSKAYA,11 OCT 1963,URS,2,Moskva (URS),07 JUL 1986,1255
12,112,7.17,1.6,Helga RADTKE,16 MAY 1962,GDR,1,Rieti (ITA),07 SEP 1986,1255
13,112,7.17,0.0,Heike DRECHSLER,16 DEC 1964,GDR,1,Potsdam (GDR),05 JUN 1987,1255
14,112,7.17,1.0,Galina CHISTYAKOVA,26 JUL 1962,URS,2f1,Karl Marx Stadt (GDR),20 JUN 1987,1255
15,112,7.17,1.8,Irina VALYUKEVICH,19 NOV 1959,URS,2,Bryansk (URS),18 JUL 1987,1255
16,112,7.17,-0.4,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GER),29 JUN 1988,1257
17,112,7.17,2.0,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GER),13 SEP 1988,1255
18,112,7.17,0.9,Heike DRECHSLER,16 DEC 1964,GDR,1,Rieti (ITA),09 SEP 1990,1255
19,112,7.17,-1.4,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"New York, NY (USA)",24 MAY 1992,1263
20,112,7.17,1.0,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,San José (USA),30 MAY 1992,1255
21,112,7.17,0.4,Inessa KRAVETS,05 OCT 1966,UKR,2,"Stade Louis II, Monaco (MON)",11 AUG 1992,1255
22,112,7.17,-1.3,Lyudmila KOLCHANOVA,01 OCT 1979,RUS,1,Tula (RUS),02 AUG 2007,1262
23,112,7.17,0.6,Tianna BARTOLETTA,30 AUG 1985,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1255
