"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,2:14:04,Brigid KOSGEI,20 FEB 1994,KEN,1,"Chicago, IL (USA)",13 OCT 2019,1295
1,2,2:14:18,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,"Chicago, IL (USA)",09 OCT 2022,1293
2,3,2:14:58,Amane Beriso SHANKULE,13 OCT 1991,ETH,1,Valencia (ESP),04 DEC 2022,1286
3,4,2:15:25,Paula RADCLIFFE,17 DEC 1973,GBR,1,London (GBR),13 APR 2003,1281
4,5,2:15:37,Tigst ASSEFA,03 DEC 1996,ETH,1,Berlin (GER),25 SEP 2022,1279
5,6,2:16:02,Brigid KOSGEI,20 FEB 1994,KEN,1,Tokyo (JPN),06 MAR 2022,1274
6,7,2:16:28,Rosemary WANJIRU,09 DEC 1994,KEN,1,Tokyo (JPN),05 MAR 2023,1270
7,8,2:16:49,Letesenbet GIDEY,20 MAR 1998,ETH,2,Valencia (ESP),04 DEC 2022,1266
8,9,2:16:56,Tsehay GEMECHU,12 DEC 1998,ETH,2,Tokyo (JPN),05 MAR 2023,1265
9,10,2:17:01,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,London (GBR),23 APR 2017,1264
10,11,2:17:08,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,Dubai (UAE),25 JAN 2019,1263
11,12,2:17:16,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,Valencia (ESP),06 DEC 2020,1262
12,13,2:17:18,Paula RADCLIFFE,17 DEC 1973,GBR,1,"Chicago, IL (USA)",13 OCT 2002,1261
13,13,2:17:18,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,Nagoya (JPN),13 MAR 2022,1261
14,15,2:17:20,Almaz AYANA,21 NOV 1991,ETH,1,Amsterdam (NED),16 OCT 2022,1261
15,16,2:17:23,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,Hamburg (GER),24 APR 2022,1260
16,17,2:17:26,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,London (GBR),02 OCT 2022,1260
17,18,2:17:29,Sheila CHEPKIRUI,27 DEC 1990,KEN,3,Valencia (ESP),04 DEC 2022,1259
18,19,2:17:36,Tadu TESHOME,09 JUN 2001,ETH,4,Valencia (ESP),04 DEC 2022,1258
19,20,2:17:41,Worknesh DEGEFA,28 OCT 1990,ETH,2,Dubai (UAE),25 JAN 2019,1257
20,21,2:17:42,Paula RADCLIFFE,17 DEC 1973,GBR,1,London (GBR),17 APR 2005,1257
21,22,2:17:43,Joyciline JEPKOSGEI,08 DEC 1993,KEN,1,London (GBR),03 OCT 2021,1257
22,23,2:17:45,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,Tokyo (JPN),01 MAR 2020,1257
23,24,2:17:56,Tirunesh DIBABA,01 OCT 1985,ETH,2,London (GBR),23 APR 2017,1255
24,25,2:17:57,Angela TANUI,27 JUL 1992,KEN,1,Amsterdam (NED),17 OCT 2021,1254
25,26,2:17:58,Degitu AZIMERAW,24 JAN 1999,ETH,2,London (GBR),03 OCT 2021,1254
26,26,2:17:58,Ashete BEKERE,17 APR 1988,ETH,2,Tokyo (JPN),06 MAR 2022,1254
27,28,2:18:00,Rosemary WANJIRU,09 DEC 1994,KEN,2,Berlin (GER),25 SEP 2022,1254
28,29,2:18:03,Tigist ABAYECHEW,22 FEB 1994,ETH,3,Berlin (GER),25 SEP 2022,1253
29,30,2:18:04,Joan Chelimo MELLY,10 NOV 1990,ROU,1,Seoul (KOR),17 APR 2022,1253
30,31,2:18:05,Genzebe DIBABA,08 FEB 1991,ETH,2,Amsterdam (NED),16 OCT 2022,1253
31,32,2:18:07,Joyciline JEPKOSGEI,08 DEC 1993,KEN,2,London (GBR),02 OCT 2022,1253
32,33,2:18:08,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,Nagoya (JPN),12 MAR 2023,1253
33,34,2:18:11,Gladys CHERONO,12 MAY 1983,KEN,1,Berlin (GER),16 SEP 2018,1252
34,34,2:18:11,Gotytom GEBRESLASE,15 JAN 1995,ETH,1,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,1252
35,34,2:18:11,Fancy CHEMUTAI,20 MAR 1995,KEN,5,Valencia (ESP),04 DEC 2022,1252
36,37,2:18:12,Sutume Asefa KEBEDE,11 DEC 1994,ETH,2,Seoul (KOR),17 APR 2022,1252
37,38,2:18:18,Ashete BEKERE,17 APR 1988,ETH,3,London (GBR),03 OCT 2021,1251
38,38,2:18:18,Gotytom GEBRESLASE,15 JAN 1995,ETH,3,Tokyo (JPN),06 MAR 2022,1251
39,40,2:18:20,Brigid KOSGEI,20 FEB 1994,KEN,1,London (GBR),28 APR 2019,1250
40,40,2:18:20,Judith Jeptum KORIR,12 DEC 1995,KEN,2,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,1250
41,42,2:18:29,Emily SISSON,12 OCT 1991,USA,2,"Chicago, IL (USA)",09 OCT 2022,1249
42,43,2:18:30,Roza DEREJE,09 MAY 1997,ETH,1,Valencia (ESP),01 DEC 2019,1249
